Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Houston-The Woodlands-Sugar Land, TX Metro Area",3132202,38428,198108,308334,416598,430949,199078,557179,119188,154156,363167,275973,71044,2018
"Huntington-Ashland, WV-KY-OH Metro Area",132762,4412,12896,17606,23093,23491,7942,18666,3022,4322,9660,4623,3029,2018
"Huntsville, AL Metro Area",208272,2193,17019,27823,40405,41999,16966,31981,6154,6846,11725,3044,2117,2018
"Huntsville, TX Micro Area",26127,878,2543,2945,3492,4316,1075,3581,735,1082,3405,1250,825,2018
"Hutchinson, KS Micro Area",28211,1296,4611,7877,5416,2886,1415,1752,366,556,844,1030,162,2018
"Idaho Falls, ID Metro Area",58929,2382,9536,13604,10714,8009,3067,4535,400,755,1654,3193,1080,2018
"Indiana, PA Micro Area",34585,1536,5442,6509,4482,4316,2353,3855,778,860,1707,1735,1012,2018
"Indianapolis-Carmel-Anderson, IN Metro Area",955705,20802,88106,123077,143358,143158,71278,153703,41333,44817,79288,31532,15253,2018
"Jonesboro, AR Metro Area",55125,2438,7543,12101,12339,8205,2119,4842,1269,566,1383,1470,850,2018
"Joplin, MO Metro Area",76827,2514,11099,13589,17824,13278,4752,6871,825,1090,2200,1751,1034,2018
"Kahului-Wailuku-Lahaina, HI Metro Area",78292,2196,9726,14110,14520,9681,4429,9798,2168,2015,5680,2163,1806,2018
"Ithaca, NY Metro Area",47718,552,5059,10321,10092,9199,3474,3838,1127,821,1762,775,698,2018
"Jackson, MI Metro Area",64436,2085,10246,12920,10565,8338,3631,4619,2325,1949,4109,2666,983,2018
"Jackson, MS Metro Area",257085,4602,19073,28968,48271,49438,20789,40908,6309,6350,18870,9928,3579,2018
"Jackson, TN Metro Area",54873,2833,6304,11076,12861,7418,3126,3522,1201,997,2119,1985,1431,2018
"Jacksonville, FL Metro Area",682857,9750,48226,77246,96042,111589,52434,124852,23995,29943,65753,33084,9943,2018
"Jacksonville, NC Metro Area",98350,6125,14788,11319,13647,15159,8867,10993,3704,2415,5807,3877,1649,2018
"Jamestown-Dunkirk-Fredonia, NY Micro Area",54292,3435,11264,12401,9086,4847,2459,5017,995,919,2307,992,570,2018
"Janesville-Beloit, WI Metro Area",80058,3462,10705,13831,12741,9025,5106,9192,2195,3006,6397,3236,1162,2018
"Jefferson, GA Micro Area",32525,1171,1932,3878,3667,3122,2493,5299,1107,1756,4460,2747,893,2018
"Jefferson City, MO Metro Area",69804,3565,10359,13495,11810,8755,5569,6734,1232,2692,2895,1440,1258,2018
"Johnson City, TN Metro Area",84341,3075,10719,12169,16291,14100,7158,9971,2273,1655,3411,2026,1493,2018
"Johnstown, PA Metro Area",55566,3766,8162,8862,7483,7833,2852,4688,1434,1557,4425,2211,2293,2018
"Aberdeen, WA Micro Area",23889,2368,3518,3756,2504,1657,1019,2423,623,1537,1739,1510,1235,2018
"Abilene, TX Metro Area",74069,3286,14820,18223,17122,9172,2308,3733,542,591,1391,922,1959,2018
"Adrian, MI Micro Area",41785,2274,5709,7051,4998,4566,2677,3385,948,2075,4855,2557,690,2018
"Aguadilla-Isabela, PR Metro Area",77019,2439,9506,8724,13554,9863,5021,7548,4267,1994,4944,5500,3659,2018
"Akron, OH Metro Area",332685,7995,33385,45797,49637,55418,32527,43137,13498,13880,23228,10017,4166,2018
"Alamogordo, NM Micro Area",23993,1587,5337,5132,3994,1893,925,1783,279,834,872,681,676,2018
"Albany, GA Metro Area",59363,1680,6722,13771,12240,8258,3391,5074,597,1502,3016,2099,1013,2018
"Albany, OR Metro Area",51424,2809,9770,7367,6207,6163,3669,5064,1314,2420,2783,2329,1529,2018
"Albany-Schenectady-Troy, NY Metro Area",423767,12490,38974,60519,76451,75698,37270,54978,11014,14526,26095,10575,5177,2018
"Albertville, AL Micro Area",38143,2812,5197,6010,4980,4529,811,3705,1349,1861,3537,2312,1040,2018
"Albuquerque, NM Metro Area",393906,6989,28958,50790,73126,78015,37730,52827,11838,12111,20182,14597,6743,2018
"Alexandria, LA Metro Area",59354,3293,8718,9742,11191,9159,3356,6803,595,1148,2307,734,2308,2018
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",387562,11704,40490,47677,54277,64823,31455,40536,11031,14443,28475,26414,16237,2018
"Altoona, PA Metro Area",55814,3179,7112,12971,12398,6960,2811,4058,1626,510,2544,928,717,2018
"Amarillo, TX Metro Area",124744,5027,16640,21238,36330,18856,4937,9420,1294,1321,3394,3980,2307,2018
"Ames, IA Metro Area",48227,2159,7792,13022,11224,5150,1472,2070,693,710,1655,1650,630,2018
"Anchorage, AK Metro Area",182340,5746,20362,35818,42561,29625,7634,15479,1311,2963,7935,7321,5585,2018
"Ann Arbor, MI Metro Area",176668,4313,13898,26523,31854,28834,11831,21937,6190,7428,13874,7353,2633,2018
"Anniston-Oxford-Jacksonville, AL Metro Area",47141,1554,5021,5371,10137,6546,1279,7245,1168,1161,3502,2868,1289,2018
"Appleton, WI Metro Area",119653,3879,15517,22608,22605,20568,9927,12093,3939,2982,2962,1250,1323,2018
"Arecibo, PR Metro Area",48160,436,3020,4508,7584,11995,5147,5544,1028,2464,2394,1900,2140,2018
"Asheville, NC Metro Area",200959,4657,20360,31527,39484,43013,13923,24550,4672,4154,8313,4141,2165,2018
"Ashtabula, OH Micro Area",37717,2056,5485,4951,4808,4754,2315,3873,1417,1760,3667,1799,832,2018
"Athens, OH Micro Area",27560,2050,5095,6302,4379,2455,2099,1803,385,133,1207,385,1267,2018
"Athens, TX Micro Area",27109,414,4059,3809,3327,3236,1560,2968,295,350,2370,2600,2121,2018
"Athens-Clarke County, GA Metro Area",94091,3484,10218,19544,17432,15351,4617,8745,1414,1373,5601,3769,2543,2018
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2715426,32705,147908,259457,331404,356826,165922,437256,104428,149405,341197,283640,105278,2018
"Atlantic City-Hammonton, NJ Metro Area",122404,3509,12848,14561,27357,19151,8964,13307,2405,4102,7056,5632,3512,2018
"Auburn, NY Micro Area",32439,2832,4828,4806,5452,3326,1422,3675,794,1499,2269,1074,462,2018
"Auburn-Opelika, AL Metro Area",70315,1011,7068,11344,16147,11682,3963,8265,2161,1219,5307,1205,943,2018
"Augusta-Richmond County, GA-SC Metro Area",259675,5850,17057,38353,48878,42293,22913,39779,7151,6593,16446,9048,5314,2018
"Augusta-Waterville, ME Micro Area",58256,2310,8457,8577,8114,9827,4313,6856,1387,1278,3633,2334,1170,2018
"Austin-Round Rock, TX Metro Area",1049865,18777,78884,107190,161095,163269,77863,164280,36731,40651,117939,65291,17895,2018
"Bakersfield, CA Metro Area",328028,5806,30816,57077,70333,61380,21096,31170,4322,8746,15880,11975,9427,2018
"Baltimore-Columbia-Towson, MD Metro Area",1336740,19079,79399,126755,172233,188625,92665,208716,52880,71998,145432,122725,56233,2018
"Bangor, ME Metro Area",67778,2520,8969,11968,14063,10071,3710,7229,1974,1431,3324,1558,961,2018
"Barnstable Town, MA Metro Area",96071,2593,13872,17603,15944,13098,4613,11981,1483,2037,4440,4513,3894,2018
"Baton Rouge, LA Metro Area",371183,8288,25527,38927,59380,57512,22140,67456,13655,11922,32439,27122,6815,2018
"Battle Creek, MI Metro Area",57767,1626,7341,11814,10660,9221,3276,5754,1613,1890,1961,1731,880,2018
"Bellingham, WA Metro Area",97471,3921,14375,19420,16665,12913,4996,9755,2685,2547,4977,2356,2861,2018
"Bend-Redmond, OR Metro Area",81085,2580,11170,16027,17813,10901,4459,10443,1228,2865,1473,336,1790,2018
"Billings, MT Metro Area",81259,3284,11655,15388,16701,15357,5253,6005,1080,679,1982,1583,2292,2018
"Binghamton, NY Metro Area",105607,4540,15042,20311,21337,16943,5474,9798,1102,1934,4127,2885,2114,2018
"Birmingham-Hoover, AL Metro Area",486073,8123,34823,55267,75967,75583,34568,82127,19433,18818,44774,28864,7726,2018
"Bismarck, ND Metro Area",69024,3513,10194,19363,15538,8193,1892,2905,369,671,1763,3340,1283,2018
"Blacksburg-Christiansburg-Radford, VA Metro Area",72792,2063,11943,12390,14951,8280,4099,5696,1945,2325,6184,1785,1131,2018
"Bay City, MI Metro Area",45235,1449,4955,6828,8130,9705,3466,4733,979,1059,1849,1095,987,2018
"Beaumont-Port Arthur, TX Metro Area",163640,5447,18024,25733,32467,28352,8239,21496,4425,4792,6106,6173,2386,2018
"Beaver Dam, WI Micro Area",44523,1948,7375,6413,4566,6842,3458,4923,1167,2101,2875,2062,793,2018
"Beckley, WV Metro Area",41638,1798,4220,5685,5673,5886,2993,4139,1569,1103,2714,4191,1667,2018
"Bloomington, IL Metro Area",90310,4531,15547,18497,21689,9358,4961,6342,1238,1463,3832,1628,1224,2018
"Bloomington, IN Metro Area",76047,2645,9646,15671,15396,10495,4372,6721,1999,1106,3131,3836,1029,2018
