Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Aberdeen, WA Micro Area",28515,1104,5699,3846,4070,3043,794,2029,885,1305,1794,2227,1719,2019
"Abilene, TX Metro Area",74779,4144,12939,14828,19568,10911,2844,4904,676,184,1836,1048,897,2019
"Adrian, MI Micro Area",40994,2061,5426,5323,4936,5336,1489,3933,1502,1353,5387,2811,1437,2019
"Aguadilla-Isabela, PR Metro Area",75906,4320,8214,9713,15383,10228,6325,4800,4488,1938,3990,3178,3329,2019
"Akron, OH Metro Area",328718,8261,34315,45887,54825,48421,28664,38115,14132,16290,23249,12067,4492,2019
"Alamogordo, NM Micro Area",24139,1865,5252,4268,3217,2242,634,3277,180,69,1227,1164,744,2019
"Albany, GA Metro Area",55205,1797,6595,10528,12406,10270,1715,5364,573,1372,1957,1662,966,2019
"Albany-Lebanon, OR Metro Area",57639,3697,7073,10589,7474,4995,4280,8169,1519,1680,4759,1147,2257,2019
"Albany-Schenectady-Troy, NY Metro Area",424763,10580,40205,63207,73327,67459,36797,58247,14450,14029,27288,12410,6764,2019
"Albertville, AL Micro Area",40271,2230,6451,6941,6604,4398,1572,3616,827,1200,3201,2000,1231,2019
"Albuquerque, NM Metro Area",410386,9112,37648,50459,73016,74484,29896,63326,11589,13669,24647,15044,7496,2019
"Alexandria, LA Metro Area",62464,2389,5659,11329,9414,10345,3536,8446,627,1876,3207,2694,2942,2019
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",394903,11717,38510,50819,58276,64055,24758,45182,10152,14357,28569,31013,17495,2019
"Altoona, PA Metro Area",55356,2569,9347,10372,9055,8218,3230,4745,1475,1491,1891,1919,1044,2019
"Amarillo, TX Metro Area",122544,3133,12746,22908,30764,22871,5470,11290,2084,1540,3379,3536,2823,2019
"Ames, IA Metro Area",60785,3519,8734,13685,10851,7818,3342,4971,1116,1041,3909,1202,597,2019
"Anchorage, AK Metro Area",186171,5989,21599,32625,41727,31909,11259,16813,2152,1829,8986,6520,4763,2019
"Ann Arbor, MI Metro Area",178286,3770,15092,26130,29656,30195,15252,21685,5519,6924,14716,7200,2147,2019
"Anniston-Oxford, AL Metro Area",45413,1939,4396,7715,9929,5244,3902,5513,1127,766,1697,2825,360,2019
"Appleton, WI Metro Area",121724,3647,16060,19471,23139,19382,9388,13022,4723,4309,3847,2550,2186,2019
"Arecibo, PR Metro Area",53003,789,2024,4720,5868,15845,5058,6441,2855,2565,2717,2077,2044,2019
"Asheville, NC Metro Area",199755,5896,16429,29920,39502,42914,13667,22904,6453,4028,9922,5924,2196,2019
"Ashtabula, OH Micro Area",40949,3552,7259,4927,5921,4946,2582,3065,1178,1698,2995,2139,687,2019
"Athens, OH Micro Area",27427,1717,5097,4882,3873,4172,2203,1168,232,389,1259,811,1624,2019
"Athens, TX Micro Area",33632,1746,3388,2954,3180,4334,1446,5918,1169,472,3987,2831,2207,2019
"Baton Rouge, LA Metro Area",379389,7455,31520,45264,61322,59154,20817,54537,13665,15214,35061,25893,9487,2019
"Battle Creek, MI Metro Area",59233,1986,9004,10509,11915,9811,2853,5755,791,1427,2569,1495,1118,2019
"Athens-Clarke County, GA Metro Area",91409,2499,9560,18532,18398,15460,5420,7560,2365,1692,5391,2329,2203,2019
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2715402,39919,145340,241112,338514,355834,185119,430251,117639,138478,338489,281058,103649,2019
"Atlantic City-Hammonton, NJ Metro Area",122063,3153,11562,16845,20612,19457,11497,14996,2695,4553,6135,5877,4681,2019
"Auburn, NY Micro Area",34546,1633,4677,5845,4668,4102,2216,3602,1365,1643,3035,1007,753,2019
"Auburn-Opelika, AL Metro Area",77792,1788,10573,12330,15478,11314,4434,8259,1373,1744,5888,2949,1662,2019
"Augusta-Richmond County, GA-SC Metro Area",262438,6902,18899,34899,48612,46117,18941,37705,7493,8650,17555,10438,6227,2019
"Augusta-Waterville, ME Micro Area",56855,3359,8688,7049,8802,7365,3974,6832,1837,2262,3557,2141,989,2019
"Austin-Round Rock-Georgetown, TX Metro Area",1078106,20190,77833,120760,166657,155431,81727,165274,41247,47100,108551,72365,20971,2019
"Bakersfield, CA Metro Area",335605,5329,32760,52972,69357,59635,25012,39932,4052,8223,16083,11663,10587,2019
"Baltimore-Columbia-Towson, MD Metro Area",1335323,21071,82901,119779,174918,172446,98942,209105,59595,64542,154234,126660,51130,2019
"Bangor, ME Metro Area",70681,3480,10737,11687,12779,10568,3970,4724,1929,2024,4060,3148,1575,2019
"Barnstable Town, MA Metro Area",98893,3351,13355,15674,18458,13209,5010,10192,2014,2534,4177,5050,5869,2019
"Bay City, MI Metro Area",46026,1549,4086,6392,8899,7991,4170,5967,1247,832,2272,1428,1193,2019
"Beaumont-Port Arthur, TX Metro Area",166844,4443,17243,24139,28436,32533,11554,23226,2843,3607,7188,8783,2849,2019
"Beaver Dam, WI Micro Area",43961,2724,6124,7280,5618,5753,1990,4704,947,1598,3927,2857,439,2019
"Beckley, WV Metro Area",40014,1854,6292,6966,4672,5342,1922,3551,929,1188,3073,3262,963,2019
"Bellingham, WA Metro Area",97708,4597,12766,14864,19123,14272,6213,10888,2095,3240,4345,1816,3489,2019
"Bend, OR Metro Area",84083,2920,10340,17545,20210,7997,4058,11184,1385,2219,2877,1405,1943,2019
"Billings, MT Metro Area",87796,4596,10936,17302,21895,12789,4279,8147,614,971,2712,2018,1537,2019
"Binghamton, NY Metro Area",100654,4433,14858,18846,20752,14993,6009,9222,1812,2697,3152,2157,1723,2019
"Birmingham-Hoover, AL Metro Area",482565,7652,30780,56016,70174,79065,34844,73301,21827,20213,50862,26782,11049,2019
"Bismarck, ND Metro Area",66046,2050,10161,15171,17631,8445,3396,3704,476,782,1848,1414,968,2019
"Blacksburg-Christiansburg, VA Metro Area",71444,2009,9619,14620,15774,8791,4563,6022,1725,1748,3117,1923,1533,2019
"Bloomington, IL Metro Area",77559,3573,15906,19580,14414,8710,2561,4251,1154,1716,2775,1711,1208,2019
"Bloomington, IN Metro Area",77739,2553,11489,14502,18781,10442,3207,5576,2184,1466,3094,2824,1621,2019
"Bloomsburg-Berwick, PA Metro Area",38003,842,5100,6518,6339,6457,2412,4190,441,1370,2058,1471,805,2019
"Bluefield, WV-VA Micro Area",34823,1635,3902,6492,5575,5616,1996,3118,811,561,1615,1955,1547,2019
"Boise City, ID Metro Area",337442,11857,32563,51197,54419,60328,26872,44954,9857,10457,21876,8279,4783,2019
"Boston-Cambridge-Newton, MA-NH Metro Area",2500383,48784,166923,252849,289037,293655,148218,372348,95607,135407,308482,290155,98918,2019
"Boulder, CO Metro Area",153755,2027,16295,25600,26357,23474,10890,19182,4199,5178,11388,7163,2002,2019
"Bowling Green, KY Metro Area",80334,2393,12498,11865,17462,11384,4188,6292,2824,2357,3335,3310,2426,2019
"Bozeman, MT Micro Area",59155,3469,10313,12708,13004,7388,2778,3179,560,377,1293,1815,2271,2019
"Brainerd, MN Micro Area",42072,1664,6497,9009,6354,5208,2432,4708,829,665,2187,1308,1211,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",126098,2436,9326,16353,21827,18480,8096,14592,4076,4286,7097,8877,10652,2019
