Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Sumter, SC Metro Area",43112,1916,5666,8589,9330,4835,1307,4524,1025,399,2738,1428,1355,2012
"Sunbury, PA Micro Area",37655,1359,4122,5558,6010,5647,2593,4858,1255,1616,2154,1189,1294,2012
"Syracuse, NY Metro Area",288217,11028,34681,51403,56136,53949,19281,28001,6356,7249,11659,4806,3668,2012
"Talladega-Sylacauga, AL Micro Area",29742,663,4452,4608,4101,4281,1526,2922,966,861,2043,2791,528,2012
"Tallahassee, FL Metro Area",167902,3997,14683,27439,32698,27485,11822,24714,6036,4083,9082,3766,2097,2012
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1151281,21288,94816,146288,186868,187005,80496,172241,36561,44315,105892,54391,21120,2012
"Terre Haute, IN Metro Area",74171,3785,11303,13676,13611,11048,4752,6326,1540,1379,3180,1507,2064,2012
"Texarkana, TX-Texarkana, AR Metro Area",54230,1859,7014,14486,9832,8895,2204,6134,420,417,1428,895,646,2012
"The Villages, FL Micro Area",19360,400,1786,5171,4548,1523,280,2438,419,364,569,1219,643,2012
"Thomasville-Lexington, NC Micro Area",65694,2603,5895,10549,12806,10597,3001,10852,2679,2143,2675,1266,628,2012
"Toledo, OH Metro Area",277000,11692,34247,47186,57642,48922,21402,25769,5030,4959,9636,5748,4767,2012
"Topeka, KS Metro Area",106315,3956,12277,21822,27573,15656,5736,8691,1477,2114,3822,2402,789,2012
"Torrington, CT Micro Area",93003,4552,10222,14241,11543,12768,5911,8541,3513,4772,7649,7001,2290,2012
"Traverse City, MI Micro Area",62193,2456,9452,9226,12026,9741,5130,5838,1375,1655,2592,1178,1524,2012
"Trenton-Ewing, NJ Metro Area",159592,3798,16270,26235,29079,20556,10478,15956,2978,4247,10970,8606,10419,2012
"Truckee-Grass Valley, CA Micro Area",36687,1057,4928,7043,6565,3965,2368,3573,1121,988,1782,1759,1538,2012
"Tucson, AZ Metro Area",393600,9424,36036,49733,67250,66581,30035,66616,11785,14593,24009,10640,6898,2012
"Tullahoma, TN Micro Area",36107,1724,5477,5700,4701,4880,3072,4367,1171,1032,1704,1455,824,2012
"Tulsa, OK Metro Area",416328,13838,46856,68018,74227,80691,28893,54448,8646,8793,18044,9000,4874,2012
"Tupelo, MS Micro Area",57868,2714,6815,9589,10117,10652,3976,6852,1373,869,2691,1248,972,2012
"Tuscaloosa, AL Metro Area",89828,1545,8091,20074,17961,14873,5631,9090,1069,2383,3625,3952,1534,2012
"Twin Falls, ID Micro Area",43101,2853,8871,8393,8826,5742,1548,2630,738,936,1088,461,1015,2012
"Tyler, TX Metro Area",90824,3088,10556,14909,19273,14015,3545,14371,2001,2381,2825,1984,1876,2012
"Ukiah, CA Micro Area",32687,2122,8473,8917,3210,3164,1067,2585,191,804,1120,303,731,2012
"Utica-Rome, NY Metro Area",124826,7023,19178,23629,20199,17074,7590,12576,3128,3307,5855,3266,2001,2012
"Valdosta, GA Metro Area",56811,2901,8160,12322,12889,7385,2803,3906,682,1060,2318,1222,1163,2012
"Vallejo-Fairfield, CA Metro Area",173073,4584,17533,27702,25313,20728,8805,19777,5422,5462,14073,16583,7091,2012
"Victoria, TX Metro Area",51355,1732,6781,12729,9340,6272,1883,4637,549,1103,2910,1833,1586,2012
"Vineland-Millville-Bridgeton, NJ Metro Area",56873,2806,7906,11592,9338,6594,2501,5258,791,1023,3233,4785,1046,2012
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",784651,15801,64877,114431,138496,130418,56822,126542,21998,25146,52373,26103,11644,2012
"Visalia-Porterville, CA Metro Area",160229,7288,23413,34825,25159,21054,4842,16783,3328,5253,8328,6945,3011,2012
"Waco, TX Metro Area",99661,3134,10576,22506,23831,18348,4388,9820,1090,1362,2196,1240,1170,2012
"Warner Robins, GA Metro Area",62724,1776,5796,10714,13599,9032,5205,10319,1441,1176,2412,693,561,2012
"Warsaw, IN Micro Area",35097,1176,6370,6544,5807,5483,2827,2388,518,707,1468,1181,628,2012
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2915564,34777,152135,237904,319220,368912,161915,477952,111811,170250,395596,360237,124855,2012
"Waterloo-Cedar Falls, IA Metro Area",82014,4884,19368,18090,17429,10200,3383,4037,1166,670,1363,692,732,2012
"Watertown-Fort Atkinson, WI Micro Area",41709,3254,5673,6320,5600,4139,3363,3794,1901,1739,3543,2020,363,2012
"Watertown-Fort Drum, NY Micro Area",51434,4305,7625,8996,9771,8485,2762,4635,956,1099,1504,604,692,2012
"Wausau, WI Metro Area",64924,4123,9992,12043,14601,9760,3401,4681,949,956,1997,1379,1042,2012
"Wenatchee-East Wenatchee, WA Metro Area",46771,2090,7459,9579,9145,7330,2270,3880,666,964,1682,946,760,2012
"Wheeling, WV-OH Metro Area",61619,2538,8730,10106,9925,8900,4651,5994,1406,1461,4122,2496,1290,2012
"Whitewater, WI Micro Area",48564,2071,7508,8351,7457,5698,2929,4009,1243,1300,3141,3691,1166,2012
"Wichita, KS Metro Area",280649,11191,34197,52181,57779,54528,18654,31093,4289,4572,6048,3549,2568,2012
"Wichita Falls, TX Metro Area",66876,2643,12012,20790,13160,8063,1667,3912,781,477,989,887,1495,2012
"Williamsport, PA Metro Area",52458,2743,8831,9775,9558,6548,2608,5696,1086,1045,1719,1760,1089,2012
"Willimantic, CT Micro Area",54634,1489,7256,7232,7600,7728,2680,5734,2556,2133,5655,3400,1171,2012
"Wilmington, NC Metro Area",156535,4053,19978,28317,31849,25001,9154,15261,3418,3658,7537,4466,3843,2012
"Wilson, NC Micro Area",32986,1941,2811,8304,6711,3947,1283,2824,552,795,1885,985,948,2012
"Winchester, VA-WV Metro Area",57858,2785,5549,8137,8260,8700,3456,5587,1534,1658,3100,5766,3326,2012
"Winston-Salem, NC Metro Area",199754,5671,19793,32533,39197,31764,15866,24701,5398,5821,9381,5316,4313,2012
"Wooster, OH Micro Area",50679,3472,7375,9964,7001,7337,2720,4469,1126,1561,3222,1492,940,2012
"Worcester, MA Metro Area",372451,9428,34172,50059,49088,53174,21594,49440,12276,16645,35804,27958,12813,2012
"Yakima, WA Metro Area",93874,2880,13998,15726,20247,14195,5608,10269,1762,1554,3560,2544,1531,2012
"Yauco, PR Metro Area",22285,333,1137,5857,3213,2640,992,3300,305,877,2216,1003,412,2012
"York-Hanover, PA Metro Area",201308,5038,17990,28916,31479,32151,13228,22082,5110,8472,17015,13848,5979,2012
"Youngstown-Warren-Boardman, OH-PA Metro Area",226137,9598,31315,40333,42352,32908,14958,20460,4035,5798,10918,8932,4530,2012
"Yuba City, CA Metro Area",59340,2151,7456,9833,7993,7210,2325,6658,955,1162,6475,5143,1979,2012
"Yuma, AZ Metro Area",68080,2767,11849,13594,14087,9427,2651,6576,972,1859,2517,1070,711,2012
"Zanesville, OH Micro Area",35958,1756,3578,5881,6663,4978,1946,4331,905,892,2035,1849,1144,2012
"Aberdeen, WA Micro Area",24440,1306,4069,3754,3868,2444,957,2534,295,1230,1520,1884,579,2012
"Abilene, TX Metro Area",67696,4866,12323,15283,13418,8983,2245,4616,506,916,1808,1459,1273,2012
"Adrian, MI Micro Area",39435,2255,5321,5421,4319,4309,2375,2872,1959,2711,4554,2502,837,2012
"Aguadilla-Isabela-San Sebastián, PR Metro Area",71978,3532,7631,11418,9446,9321,4615,7015,1955,2486,6758,5160,2641,2012
"Akron, OH Metro Area",316046,10941,32470,50803,55083,50738,23998,33476,10086,15030,19496,9237,4688,2012
"Alamogordo, NM Micro Area",22679,1570,5075,4200,2840,3495,1308,2209,338,155,433,379,677,2012
"Albany, GA Metro Area",57135,2573,6192,12057,11417,10275,3492,5100,904,509,1921,1310,1385,2012
"Albany-Lebanon, OR Micro Area",45633,2070,7140,8630,4511,5464,3728,5841,1501,1164,2685,1772,1127,2012
"Albany-Schenectady-Troy, NY Metro Area",407107,12407,40441,65262,72308,67793,31558,56017,11792,13846,21380,8561,5742,2012
"Albertville, AL Micro Area",35190,1652,4688,5752,6371,4120,2156,2480,840,1845,3107,1764,415,2012
"Albuquerque, NM Metro Area",377629,9671,33302,50716,76259,72459,25986,53131,7936,9873,21175,11209,5912,2012
"Alexandria, LA Metro Area",58289,2944,7038,10267,11282,8456,3319,5669,1160,1216,1983,1973,2982,2012
"Allegan, MI Micro Area",45993,1796,5473,6003,6919,7242,4046,6925,1789,1462,2486,1197,655,2012
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",371188,10516,38812,50198,58555,55732,24160,41216,8661,13228,27184,28892,14034,2012
"Altoona, PA Metro Area",54621,2702,9445,11665,9274,6941,3395,4746,843,1460,2311,1243,596,2012
"Amarillo, TX Metro Area",113829,5112,17184,27529,23957,17716,3039,8784,895,1227,3004,2913,2469,2012
"Ames, IA Metro Area",46154,2678,8536,11693,8251,4869,1791,3366,785,551,2806,605,223,2012
"Anchorage, AK Metro Area",186702,9577,20368,33970,41722,27898,6890,18105,2162,3242,9303,8664,4801,2012
"Anderson, IN Metro Area",50708,1570,6937,7716,6512,7382,2684,5589,1414,1763,5184,2788,1169,2012
"Anderson, SC Metro Area",74432,1376,6744,13407,13681,13488,4824,8541,2620,2433,4654,1283,1381,2012
"Ann Arbor, MI Metro Area",159539,3664,16387,27428,28478,28061,9176,18613,3996,6388,10386,5424,1538,2012
"Anniston-Oxford, AL Metro Area",44305,1130,5445,6685,8232,6088,4110,5174,1268,788,3043,1709,633,2012
"Appleton, WI Metro Area",113849,4425,14346,24134,23882,18108,7925,10325,2505,2034,3185,1215,1765,2012
"Asheville, NC Metro Area",178647,5891,22533,27874,33557,30532,14605,20788,4165,3834,7166,4325,3377,2012
"Ashtabula, OH Micro Area",38612,2178,5120,6249,5786,4618,2675,3202,841,1591,3474,2197,681,2012
"Athens, TX Micro Area",29685,1132,4938,4109,4090,2769,1588,2571,756,1897,2078,2079,1678,2012
"Athens-Clarke County, GA Metro Area",81773,2053,8933,15658,19639,12353,4408,7031,1680,1413,2849,2695,3061,2012
"Atlanta-Sandy Springs-Marietta, GA Metro Area",2297995,39716,146113,237028,302877,327796,142623,380259,87064,122385,265324,185561,61249,2012
"Atlantic City-Hammonton, NJ Metro Area",118613,3634,13592,19860,23226,19711,7055,12262,2925,3511,4281,6013,2543,2012
"Auburn, NY Micro Area",32233,1721,5451,4872,4098,4270,1483,3705,1151,1959,2230,707,586,2012
"Auburn-Opelika, AL Metro Area",65140,1153,7011,10667,15382,8280,4389,8446,2198,968,3592,1685,1369,2012
"Augusta-Richmond County, GA-SC Metro Area",231570,5169,20184,35683,47147,42836,12395,31053,4995,5822,14739,8027,3520,2012
"Augusta-Waterville, ME Micro Area",50800,1884,7269,7993,6646,6953,3555,6284,1362,2142,3337,2052,1323,2012
"Austin-Round Rock-San Marcos, TX Metro Area",852934,23141,72079,105734,139835,137512,51266,136365,27211,38122,66361,40436,14872,2012
"Bakersfield-Delano, CA Metro Area",303055,8891,34576,52475,54531,49804,13729,32827,6222,7410,15637,17963,8990,2012
"Baltimore-Towson, MD Metro Area",1286794,21976,85923,134274,171405,192122,85558,212356,47615,61172,125435,100622,48336,2012
"Bangor, ME Metro Area",68832,4179,10486,11057,12349,10076,3942,7078,1685,1876,2674,1736,1694,2012
"Barnstable Town, MA Metro Area",91492,3044,13429,16427,16066,11162,6400,8393,1837,2472,4150,4076,4036,2012
"Baton Rouge, LA Metro Area",364983,9749,32157,42713,52775,62046,20193,57852,10155,11501,36068,20867,8907,2012
"Battle Creek, MI Metro Area",55631,2125,6874,12748,10208,9511,3031,5181,1061,1189,1968,1045,690,2012
"Bay City, MI Metro Area",44327,2009,6995,8261,7413,5312,3237,5395,938,680,1899,1409,779,2012
"Beaumont-Port Arthur, TX Metro Area",154535,6098,20021,26752,27905,24646,9113,21729,3306,1938,7981,2830,2216,2012
"Beaver Dam, WI Micro Area",40780,3034,6831,5722,5309,5404,2634,3327,1068,1158,3141,2706,446,2012
"Beckley, WV Micro Area",26729,1420,3795,4910,5716,2732,1013,2114,161,220,1884,1814,950,2012
"Bellingham, WA Metro Area",89876,3663,12485,18983,17112,9958,6208,10844,1728,1489,3328,1994,2084,2012
"Bend, OR Metro Area",62167,1397,11799,13590,10445,8350,3160,7376,1623,526,1588,522,1791,2012
"Billings, MT Metro Area",79152,2947,10298,18124,17749,14238,2765,5461,830,1197,1489,1034,3020,2012
"Binghamton, NY Metro Area",106964,3413,15969,20628,21059,18760,6803,7962,1706,1861,3601,3159,2043,2012
"Birmingham-Hoover, AL Metro Area",474073,11029,35565,56743,73846,79315,34541,80091,13563,19009,40891,22334,7146,2012
"Bismarck, ND Metro Area",59493,2733,10203,15601,13549,6133,1882,2992,476,846,1440,1718,1920,2012
"Blacksburg-Christiansburg-Radford, VA Metro Area",70003,3050,12305,12745,11785,10694,3870,6994,985,2344,3458,1038,735,2012
"Bloomington, IN Metro Area",85600,4985,11416,18803,13660,11391,3796,8018,1524,1883,4227,3398,2499,2012
"Bloomington-Normal, IL Metro Area",86883,3823,16684,20824,18653,9596,2676,5094,1509,1206,3633,2376,809,2012
"Bloomsburg-Berwick, PA Micro Area",37827,1692,5562,7046,5910,4534,2657,4273,818,1551,1905,1017,862,2012
"Bluefield, WV-VA Micro Area",38848,3172,5967,5513,7548,4829,1621,3793,585,1175,1916,2259,470,2012
"Boise City-Nampa, ID Metro Area",269493,8564,30404,42182,52857,49038,22949,33295,6228,6330,8920,4683,4043,2012
"Boston-Cambridge-Quincy, MA-NH Metro Area",2261304,55141,181259,261367,284069,279649,124813,356288,76692,121135,248224,211097,61570,2012
"Boulder, CO Metro Area",142964,4821,17836,26140,24285,21380,8290,16688,3070,5143,7727,5339,2245,2012
"Bowling Green, KY Metro Area",55769,1745,8981,12192,12691,7851,2927,3948,588,876,1896,949,1125,2012
"Bozeman, MT Micro Area",46383,3239,8658,10362,10047,7022,1655,1880,55,528,979,865,1093,2012
"Brainerd, MN Micro Area",37933,1950,7700,6304,6104,4217,2256,3873,769,783,1757,760,1460,2012
"Branson, MO Micro Area",33312,1271,4696,5220,5500,4629,2891,3064,508,1163,2229,1601,540,2012
"Bremerton-Silverdale, WA Metro Area",106322,2058,9111,15209,18711,17343,5539,12012,2367,2887,5240,7506,8339,2012
"Bridgeport-Stamford-Norwalk, CT Metro Area",421946,10432,41929,65078,65389,61115,20733,49359,9321,11782,28629,38389,19790,2012
"Brownsville-Harlingen, TX Metro Area",140019,4345,14612,23695,33429,24730,7389,18651,2891,1061,4946,3532,738,2012
"Brunswick, GA Metro Area",45251,1634,3895,6889,10050,9391,2047,3757,694,465,3354,2120,955,2012
"Buffalo-Niagara Falls, NY Metro Area",514178,16080,61226,88472,92835,92301,40331,61793,12620,13781,18399,9846,6494,2012
"Burlington, NC Metro Area",65885,1996,8899,11823,10077,9179,4120,7028,2389,2534,4564,1839,1437,2012
"Burlington-South Burlington, VT Metro Area",105577,4665,11609,17622,16577,15775,8886,11680,2347,4172,7481,3342,1421,2012
"Canton-Massillon, OH Metro Area",175127,6270,21984,29754,28338,27508,11736,18332,4961,5639,10801,6441,3363,2012
"Cape Coral-Fort Myers, FL Metro Area",234308,4547,16477,27291,33244,37871,14940,41840,8821,10827,19768,12655,6027,2012
"Cape Girardeau-Jackson, MO-IL Metro Area",41934,2048,6617,8482,8118,5296,2075,3498,1132,609,1794,1401,864,2012
"Carson City, NV Metro Area",22145,634,5277,7060,2794,1611,671,1535,769,647,336,485,326,2012
"Casper, WY Metro Area",39465,1156,6314,11857,9353,5451,997,1499,324,84,567,976,887,2012
"Cedar Rapids, IA Metro Area",125559,6980,18899,24115,22306,18340,7632,10941,3480,3227,4835,3274,1530,2012
"Centralia, WA Micro Area",27817,1481,4013,4436,4218,4021,1362,3122,675,952,1099,1379,1059,2012
