Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Aberdeen, WA Micro Area",27484,2942,3681,2794,2702,2936,1302,3224,1363,1021,2653,1980,886,2023
"Abilene, TX Metro Area",75645,2882,11554,19394,19295,10459,3231,4560,862,525,1600,464,819,2023
"Adrian, MI Micro Area",41030,2413,4359,5345,4420,4662,2715,4418,2055,3122,3523,2945,1053,2023
"Aguadilla, PR Metro Area",79315,2710,11564,9507,11940,13272,4987,8543,3875,2018,3933,3878,3088,2023
"Akron, OH Metro Area",300188,8336,25389,47251,51289,46867,26522,36831,11318,12415,21775,7618,4577,2023
"Alamogordo, NM Micro Area",28686,975,6978,4983,3521,3999,2016,1642,600,1074,1679,484,735,2023
"Albany, GA Metro Area",53750,3072,5296,9234,12027,6911,3593,6206,1780,522,2034,1966,1109,2023
"Albany, OR Metro Area",53310,2576,5241,8522,6730,6739,3827,6840,2026,2835,3706,1859,2409,2023
"Albany-Schenectady-Troy, NY Metro Area",389903,11702,35262,56100,68921,65248,31969,53772,13051,14764,23076,11258,4780,2023
"Albemarle, NC Micro Area",26170,909,3042,3366,3105,1952,1924,2262,650,1449,4931,1957,623,2023
"Albertville, AL Micro Area",40983,961,6443,6580,5648,3715,2124,2972,1812,2064,4446,3272,946,2023
"Albuquerque, NM Metro Area",383819,9922,37067,54893,61119,67615,30837,50675,12942,11519,20964,14801,11465,2023
"Alexandria, LA Metro Area",56922,1903,6583,11373,12343,6331,4123,6260,403,712,2924,1527,2440,2023
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",377316,10008,35421,46819,60276,61083,27341,45444,11175,11779,26888,25442,15640,2023
"Altoona, PA Metro Area",51888,2949,9594,9490,8874,6844,2743,4189,647,805,3202,958,1593,2023
"Amarillo, TX Metro Area",126969,5456,19129,23207,35313,16263,4332,11470,1191,1516,2502,3065,3525,2023
"Ames, IA Metro Area",59335,3740,11855,10320,9860,5889,2852,4988,1430,2411,3913,963,1114,2023
"Amherst Town-Northampton, MA Metro Area",70657,2353,10249,9163,8219,9834,5404,11554,2778,2576,5371,1934,1222,2023
"Anchorage, AK Metro Area",181752,6272,21112,35964,41804,27362,8442,13950,1876,2614,9696,7913,4747,2023
"Anderson Creek, NC Micro Area",50642,2160,3517,2762,4351,5698,4410,9230,2721,1928,8094,3849,1922,2023
"Ann Arbor, MI Metro Area",149947,3603,12327,21017,28748,23979,12183,18427,3898,5997,11908,5365,2495,2023
"Anniston-Oxford, AL Metro Area",45139,1082,4422,6812,8986,7033,2866,5906,1457,1526,2639,909,1501,2023
"Appleton, WI Metro Area",116191,5301,13338,19561,23064,19442,10272,10577,3418,2155,4306,2367,2390,2023
"Arecibo, PR Metro Area",54705,1358,1990,5186,5774,18115,2631,8089,559,3242,2490,2157,3114,2023
"Asheville, NC Metro Area",163001,4034,15024,23826,35205,32899,9813,21755,3547,4385,6085,3982,2446,2023
"Athens, TN Micro Area",25794,1046,3446,3374,3732,2684,1320,2630,419,1469,2516,2585,573,2023
"Athens, TX Micro Area",33618,1085,3786,4109,4869,3200,2176,4368,699,928,2582,2580,3236,2023
"Athens-Clarke County, GA Metro Area",95062,2507,10162,18530,21024,11730,6255,8734,1532,2733,5330,4121,2404,2023
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2588713,44118,139927,257494,308617,343624,175587,428964,111010,132745,314036,245520,87071,2023
"Atlantic City-Hammonton, NJ Metro Area",159158,5748,18541,22430,24930,25594,13998,20331,4083,6145,6167,6068,5123,2023
"Auburn, NY Micro Area",33593,1933,5908,4850,4579,4366,2481,3601,949,837,2471,1031,587,2023
"Auburn-Opelika, AL Metro Area",83154,1599,10853,13789,16926,13136,5179,10104,1488,2563,4526,1697,1294,2023
"Augusta-Richmond County, GA-SC Metro Area",257116,5717,25500,34825,46019,42360,24836,35787,8155,4489,17832,7521,4075,2023
"Augusta-Waterville, ME Micro Area",54006,3275,6162,9152,6659,6983,2869,7182,2437,2103,3873,2017,1294,2023
"Austin-Round Rock-San Marcos, TX Metro Area",1023148,24217,78401,121193,153426,149279,63934,159807,41224,48058,107557,59737,16315,2023
"Bakersfield-Delano, CA Metro Area",345017,7631,33502,55158,60063,60693,24251,41121,6502,10681,16675,16015,12725,2023
"Baltimore-Columbia-Towson, MD Metro Area",1211828,22149,78325,123344,161316,173252,93047,202394,48463,61511,121829,83828,42370,2023
"Bangor, ME Metro Area",66415,2412,9793,10593,12942,9899,3145,7858,1218,1857,2851,2059,1788,2023
"Baraboo, WI Micro Area",31672,1760,5828,4282,3777,3491,2155,3122,690,899,3088,1820,760,2023
"Barnstable Town, MA Metro Area",96287,2475,11722,16889,15213,12709,7037,11948,1872,3115,4220,3944,5143,2023
"Baton Rouge, LA Metro Area",368004,9779,30088,45376,57851,58228,26669,59064,11033,11273,30415,19902,8326,2023
"Battle Creek, MI Metro Area",55289,2968,7037,12795,8703,7535,3293,5747,954,1096,2770,1346,1045,2023
"Bay City, MI Metro Area",42360,982,5041,5687,6755,7420,4294,5887,1453,1298,1154,971,1418,2023
"Beaumont-Port Arthur, TX Metro Area",161688,5204,15308,28205,33523,23067,8508,21418,3478,3335,9769,6028,3845,2023
"Beaver Dam, WI Micro Area",41781,3756,5663,5194,4703,5521,2884,4438,2408,2007,2264,2177,766,2023
"Beckley, WV Metro Area",39482,319,4311,4703,7497,5031,1354,4955,1241,612,4237,3944,1278,2023
"Bellingham, WA Metro Area",98124,3765,12268,17195,18020,13466,7450,11707,2371,2360,3452,2944,3126,2023
"Bend, OR Metro Area",102421,4408,15097,22181,17442,12596,4634,11723,2388,2358,4289,2479,2826,2023
"Billings, MT Metro Area",87907,4056,11949,16374,18862,14150,6102,7273,1277,2036,2214,2046,1568,2023
"Binghamton, NY Metro Area",96465,3279,13577,22026,19740,12323,5627,9587,1955,1558,3226,2702,865,2023
"Birmingham, AL Metro Area",491303,11735,29149,54249,61480,89230,39152,82909,21135,22652,42985,26318,10309,2023
"Bismarck, ND Metro Area",65815,1536,12177,15145,15066,8831,2067,3150,1146,1218,1226,2232,2021,2023
"Blacksburg-Christiansburg-Radford, VA Metro Area",71246,2471,8689,14183,14503,8560,3778,6298,2603,2964,4632,2057,508,2023
"Bloomington, IL Metro Area",73991,3998,11415,16881,15052,11233,3642,4030,1754,458,2424,1868,1236,2023
"Bloomington, IN Metro Area",68470,3187,8200,15394,14859,8743,2697,5935,1412,1918,2458,2888,779,2023
"Bloomsburg-Berwick, PA Micro Area",28991,2027,3151,6191,2931,3780,2341,2463,871,1281,1639,1473,843,2023
"Bluefield, WV-VA Micro Area",32630,1350,4492,3911,5176,5477,2148,4518,468,743,1861,1028,1458,2023
"Boise City, ID Metro Area",341312,10087,34104,46272,60545,60909,27319,47840,9435,12246,19569,7736,5250,2023
"Boston-Cambridge-Newton, MA-NH Metro Area",2195778,43624,159210,223686,260909,281644,146361,326230,87840,121710,242169,225197,77198,2023
"Boulder, CO Metro Area",126056,4306,16116,20554,22035,17855,7975,13623,3649,2477,8633,6337,2496,2023
"Bowling Green, KY Metro Area",87964,3325,9577,13971,17339,15678,4359,9659,2123,1357,3518,3631,3427,2023
"Bozeman, MT Metro Area",66444,3807,7562,15859,12459,9990,4350,5663,476,656,1582,3204,836,2023
"Brainerd, MN Micro Area",40007,1197,5888,6295,6880,5949,2405,4284,1236,1178,1827,1239,1629,2023
"Bremerton-Silverdale-Port Orchard, WA Metro Area",119787,2634,10616,17679,20712,16178,8618,13754,2643,3370,7076,7475,9032,2023
"Bridgeport-Stamford-Danbury, CT Metro Area",410806,10990,34601,50495,57895,50404,23365,52021,12880,16628,31690,41894,27943,2023
"Brigham City, UT-ID Micro Area",28219,2116,5556,4053,3567,2911,1831,3657,671,963,1425,999,470,2023
"Brownsville-Harlingen, TX Metro Area",165141,4252,13454,30995,32941,35505,8452,20304,2856,3353,6046,4290,2693,2023
"Brunswick-St. Simons, GA Metro Area",43310,1529,4231,5971,7574,8108,4062,4026,1538,857,3135,1423,856,2023
"Buffalo-Cheektowaga, NY Metro Area",499105,14819,55096,77264,90569,89954,47541,61762,11747,12010,19340,11389,7614,2023
"Burlington, NC Metro Area",78215,2090,9944,10338,13189,9963,5512,10625,2710,4173,7311,1526,834,2023
"Burlington-South Burlington, VT Metro Area",102966,3781,11340,16693,16279,14575,8235,14227,4165,3588,4791,3263,2029,2023
"Canton-Massillon, OH Metro Area",171933,7376,18632,30862,27370,26898,11001,18138,8255,5321,7864,7070,3146,2023
"Cape Coral-Fort Myers, FL Metro Area",296186,4526,18714,32793,40499,44657,20321,47862,12003,12736,31540,21405,9130,2023
"Cape Girardeau, MO-IL Metro Area",45485,4144,7545,8010,6963,6204,2465,4086,1145,1496,1642,889,896,2023
"Carson City, NV Metro Area",25541,1032,2881,8113,3143,3136,641,2671,796,799,733,1072,524,2023
"Casper, WY Metro Area",35523,1003,3984,11344,9377,4130,645,1080,32,302,974,885,1767,2023
"Cedar Rapids, IA Metro Area",121288,5888,17914,22431,23220,19121,8648,9176,3010,2356,5163,2819,1542,2023
"Centralia, WA Micro Area",29358,1110,3329,3304,4331,3853,1740,2694,1607,855,3745,1622,1168,2023
"Chambersburg, PA Metro Area",66888,3997,6593,9734,9263,9236,5332,10341,2128,2549,3220,3013,1482,2023
"Champaign-Urbana, IL Metro Area",100477,3812,13117,27013,22148,13502,4237,8149,1623,1183,2697,1596,1400,2023
"Charleston, WV Metro Area",76986,2394,6244,13951,16188,10345,6356,9444,1246,617,4430,3431,2340,2023
"Charleston-North Charleston, SC Metro Area",368151,7130,26819,38087,53281,57606,29979,60390,13113,16608,34972,20118,10048,2023
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1136681,25631,80848,125443,170523,165606,102577,176313,47017,48083,112319,59093,23228,2023
"Charlottesville, VA Metro Area",91266,1982,7361,16741,14064,12552,7494,12301,3838,3539,7526,3069,799,2023
"Chattanooga, TN-GA Metro Area",242094,6578,21932,33316,45726,39771,19545,38669,8356,7118,11283,5586,4214,2023
"Cheyenne, WY Metro Area",45226,1935,6108,11903,12452,5888,791,1861,843,175,1694,887,689,2023
"Chicago-Naperville-Elgin, IL-IN Metro Area",3978255,79175,285384,412476,475710,506765,279978,585982,162605,222011,482025,366596,119548,2023
"Chico, CA Metro Area",83502,5094,16982,18788,13268,7228,2370,8559,1353,1883,3552,1786,2639,2023
"Chillicothe, OH Micro Area",29124,970,3957,4148,4216,6599,2894,1998,104,859,1185,1830,364,2023
"Cincinnati, OH-KY-IN Metro Area",987630,26241,83166,128836,157599,165584,91473,145141,43037,41139,63189,28463,13762,2023
"Clarksburg, WV Micro Area",34720,1313,3238,5122,6945,6337,2451,3795,821,1263,1353,1172,910,2023
"Clarksville, TN-KY Metro Area",141675,5400,14219,24157,25131,16647,9189,14136,3367,3225,9806,10852,5546,2023
"Clearlake, CA Micro Area",20153,1690,2056,2186,2496,2062,1658,2555,855,468,1663,678,1786,2023
"Cleveland, OH Metro Area",921446,27625,82634,131482,145891,152591,89018,125392,38339,35514,54906,23549,14505,2023
"Cleveland, TN Metro Area",50023,1462,7374,8553,7443,4919,3641,6872,1984,1674,3532,1964,605,2023
"Clovis, NM Micro Area",28938,2294,7897,6550,5359,1344,1751,2378,398,0,686,186,95,2023
"Coeur d'Alene, ID Metro Area",71065,3009,7055,11170,12836,13399,3723,5995,2266,2510,5434,2368,1300,2023
"College Station-Bryan, TX Metro Area",123008,4112,15923,26445,26940,18013,5532,12144,1594,2335,3292,2971,3707,2023
"Colorado Springs, CO Metro Area",335746,8888,30510,46560,53486,61743,27927,51561,9172,11402,13710,14803,5984,2023
"Columbia, MO Metro Area",100470,4433,13855,22747,23349,14163,4177,7079,1502,2066,3127,1907,2065,2023
"Columbia, SC Metro Area",363533,10587,37489,50798,60354,54706,30241,49713,12857,13331,25161,11423,6873,2023
"Columbus, GA-AL Metro Area",128874,3791,13738,21482,27149,19766,9039,13290,1934,5062,7761,3761,2101,2023
"Columbus, IN Metro Area",37829,1603,3352,7957,7709,5636,1867,4823,925,600,1406,1301,650,2023
"Columbus, OH Metro Area",925444,21570,80827,131987,150575,171273,87946,118569,35440,31842,54539,27452,13424,2023
"Concord, NH Micro Area",72109,2692,6803,8320,10496,9972,6240,9748,2992,2903,4751,4707,2485,2023
"Cookeville, TN Micro Area",58217,1789,7481,8567,11635,8846,4746,5296,1695,1284,2683,2485,1710,2023
"Corbin, KY Micro Area",52013,1722,8021,9715,9934,6571,3938,4097,763,1112,2360,1748,2032,2023
"Corning, NY Micro Area",38019,2164,6459,6297,5801,5744,2105,3684,1158,626,1583,1542,856,2023
"Corpus Christi, TX Metro Area",0,0,0,0,0,0,0,0,0,0,0,0,0,2023
"Corvallis, OR Metro Area",40613,979,6965,10069,7572,5895,1852,3042,438,425,1807,1295,274,2023
"Crestview-Fort Walton Beach-Destin, FL Metro Area",130791,3775,10158,16670,17895,17992,9611,15410,4865,6660,14218,10727,2810,2023
"Cullman, AL Micro Area",38902,1227,4482,4160,6823,5807,2136,3169,911,901,2913,5294,1079,2023
"Cumberland, MD-WV Micro Area",34645,1636,5831,5194,7477,4117,2098,2195,1236,306,1693,1242,1620,2023
"Dallas-Fort Worth-Arlington, TX Metro Area",3487458,71738,260635,382128,474498,491748,249621,576165,127071,164637,368897,248442,71878,2023
"Dalton, GA Metro Area",66254,1291,4941,9440,8838,16666,3967,8590,1903,1567,4964,2188,1899,2023
"Danville, IL Micro Area",25849,1679,4000,6056,4612,2789,903,3165,563,695,749,309,329,2023
