Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Macon, GA Metro Area",86153,1277,8659,14547,16627,12794,4148,14658,1878,1683,6393,2042,1447,2014
"Madera, CA Metro Area",47948,922,3980,7105,8554,5925,1759,8838,1310,1757,4942,2086,770,2014
"Madison, WI Metro Area",330014,13263,42229,51444,53134,53532,25212,40399,11266,10641,16855,8091,3948,2014
"Manchester-Nashua, NH Metro Area",201194,5499,20688,26946,27468,26354,12348,27911,5689,9170,17424,14824,6873,2014
"Manhattan, KS Metro Area",49077,2682,9639,13862,7480,6372,1942,3322,511,823,1394,597,453,2014
"Manitowoc, WI Micro Area",38591,2290,6792,7874,6449,5476,2258,3550,963,571,1327,793,248,2014
"Mankato-North Mankato, MN Metro Area",50228,2607,11208,11748,10646,4848,1729,2624,529,524,1496,1722,547,2014
"Mansfield, OH Metro Area",46468,1337,6861,8364,8533,8005,3339,3028,608,876,1649,3027,841,2014
"Marinette, WI-MI Micro Area",28250,2714,5335,4915,4886,2369,1210,2555,669,731,1367,758,741,2014
"Marion, IN Micro Area",27630,2266,6052,4238,4052,4844,711,1796,349,555,1669,916,182,2014
"Marion, OH Micro Area",24074,1285,3637,5683,4458,2432,1133,1455,666,896,767,1082,580,2014
"Marquette, MI Micro Area",26970,2192,6817,5536,3693,2559,1528,1832,759,122,936,488,508,2014
"Marshall, TX Micro Area",26568,1117,5162,5193,4485,3532,1818,2437,689,617,1017,305,196,2014
"Martinsville, VA Micro Area",25474,611,2319,4137,6735,4800,1910,1989,343,357,1140,1013,120,2014
"Mayagüez, PR Metro Area",24503,742,2877,4334,4872,2592,1730,2756,470,609,2167,976,378,2014
"McAllen-Edinburg-Mission, TX Metro Area",279947,7806,29297,45905,62971,53950,17288,35869,3766,3470,7089,6297,6239,2014
