Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Aberdeen, WA Micro Area",26423,2695,5433,3490,3775,1960,1127,2014,812,1183,1012,2158,764,2022
"Abilene, TX Metro Area",79739,3037,13428,18601,18049,12160,3867,4926,606,1482,1387,1568,628,2022
"Adrian, MI Micro Area",40207,3003,5804,4486,3335,4888,2726,4634,1538,1698,4331,2734,1030,2022
"Aguadilla-Isabela, PR Metro Area",87525,3460,13438,11967,16170,13896,4426,6892,1863,3446,5394,4904,1669,2022
"Akron, OH Metro Area",293612,7183,31013,40287,49646,44701,26495,35956,13758,10710,21876,6918,5069,2022
"Alamogordo, NM Micro Area",27736,1116,4251,4181,4571,4493,3288,2374,242,996,1185,512,527,2022
"Albany, GA Metro Area",55858,1387,6555,8802,10374,9452,4018,6220,587,804,4719,1773,1167,2022
"Albany-Lebanon, OR Metro Area",52044,3425,5911,7146,7062,7004,3392,6832,2027,2215,4166,1571,1293,2022
"Albany-Schenectady-Troy, NY Metro Area",386190,8549,39267,55724,66660,62392,31474,51065,11375,16209,20178,13988,9309,2022
"Albertville, AL Micro Area",37752,1627,4954,9124,4824,3451,1379,3713,667,1787,2849,2089,1288,2022
"Albuquerque, NM Metro Area",379052,6939,34507,46409,68635,68993,26456,53038,10511,13423,23448,17681,9012,2022
"Alexandria, LA Metro Area",60225,1759,9057,12410,9413,9450,3705,5707,1247,569,3201,2188,1519,2022
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",378504,11154,34770,49408,60756,57940,27407,49120,10638,12572,26145,20399,18195,2022
"Altoona, PA Metro Area",52984,2101,8422,10175,10050,7077,3233,4017,1120,1161,3922,923,783,2022
"Amarillo, TX Metro Area",119983,3892,15802,25082,23947,20175,5985,12889,2227,1567,2253,4010,2154,2022
"Ames, IA Metro Area",63722,3497,12295,14276,10835,6945,3464,4682,1299,1697,3610,593,529,2022
"Anchorage, AK Metro Area",176335,5173,20987,33322,36561,27866,9690,14162,4052,2822,10335,6118,5247,2022
"Ann Arbor, MI Metro Area",141074,2125,10760,20818,29009,23990,11111,19019,3947,3874,9636,5387,1398,2022
"Anniston-Oxford, AL Metro Area",46913,1694,5760,5355,7523,5144,2269,5894,1770,1247,4411,4263,1583,2022
"Appleton, WI Metro Area",113785,3780,15394,23058,21283,18210,8140,10954,3933,2219,2923,2266,1625,2022
"Arecibo, PR Metro Area",59128,530,2281,7531,9102,16477,4424,7566,1664,1594,1133,2663,4163,2022
"Asheville, NC Metro Area",186332,5121,16255,25085,33112,40044,15517,23864,5807,4368,9925,5047,2187,2022
"Ashtabula, OH Micro Area",39899,1152,4712,6787,3606,4591,2976,5137,1326,2434,1994,3508,1676,2022
"Athens, TX Micro Area",33576,2588,4445,4137,3389,3488,1068,5943,729,1247,2872,2064,1606,2022
"Athens-Clarke County, GA Metro Area",92938,2213,8552,14821,18545,16161,7015,7759,2448,3073,5032,3839,3480,2022
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2486837,40882,155916,236738,331695,313746,172968,399913,110827,126698,302641,220748,74065,2022
"Atlantic City-Hammonton, NJ Metro Area",116621,3279,10884,19672,18153,19202,9529,15499,2127,4235,6240,4695,3106,2022
"Auburn, NY Micro Area",31034,1882,4296,5439,3477,3929,2421,3428,1366,869,2541,977,409,2022
"Auburn-Opelika, AL Metro Area",77959,1805,7359,15794,13109,12201,5302,9729,2362,2701,3984,1877,1736,2022
"Augusta-Richmond County, GA-SC Metro Area",252177,5203,22603,32125,44984,41745,20510,36151,7971,9317,19595,9469,2504,2022
"Augusta-Waterville, ME Micro Area",48672,1726,7046,6428,7521,6470,3200,6252,1932,1531,2504,3123,939,2022
"Austin-Round Rock-Georgetown, TX Metro Area",964960,24420,67097,129848,145659,146380,71556,151652,37075,36816,87686,49695,17076,2022
"Bakersfield, CA Metro Area",340730,7084,28542,51896,71890,69024,21533,39207,4374,7724,13521,13761,12174,2022
"Baltimore-Columbia-Towson, MD Metro Area",1186643,17367,75209,123062,172482,175752,96716,188436,46547,58957,115534,83456,33125,2022
"Bangor, ME Metro Area",67597,2838,8849,13371,11766,7948,4107,7747,1645,2067,3022,2227,2010,2022
"Baraboo, WI Micro Area",29538,2100,5069,3634,4097,3179,1364,2184,1028,1447,2881,1949,606,2022
"Barnstable Town, MA Metro Area",95979,3138,13626,16004,17172,14668,4725,9856,1850,3060,5435,3330,3115,2022
"Baton Rouge, LA Metro Area",379505,8128,30202,52160,60772,55359,28048,55909,10456,13395,37556,19545,7975,2022
"Battle Creek, MI Metro Area",56579,3123,8137,10010,11210,7611,3571,5531,846,1223,2841,1740,736,2022
"Bay City, MI Metro Area",40655,1521,4295,6435,6871,5438,4107,5105,1803,1332,1025,1556,1167,2022
"Beaumont-Port Arthur, TX Metro Area",157999,3669,14697,18245,26483,32119,10315,25501,4650,3806,7831,6188,4495,2022
"Beaver Dam, WI Micro Area",40413,1795,6348,6339,3934,5185,3313,4553,1676,1500,2923,2321,526,2022
"Beckley, WV Metro Area",37759,775,4012,5262,7574,5551,1788,5482,675,486,2184,2485,1485,2022
"Bellingham, WA Metro Area",98094,3231,11076,18982,22275,15274,7185,7098,2882,1270,3383,3263,2175,2022
"Bend, OR Metro Area",78227,3114,10761,16691,13533,9702,5850,8243,3124,1712,3586,1267,644,2022
"Billings, MT Metro Area",92108,4257,15337,16936,22259,12075,4058,7483,1139,1163,3122,1789,2490,2022
"Binghamton, NY Metro Area",102323,6429,12984,17869,19126,17647,7296,8352,1609,2189,3532,3377,1913,2022
"Birmingham-Hoover, AL Metro Area",466560,10689,27110,48442,70789,78189,40065,80740,19918,16706,45119,21973,6820,2022
"Bismarck, ND Metro Area",62933,1932,9091,15322,16555,9669,2543,2290,134,997,1258,1463,1679,2022
"Blacksburg-Christiansburg, VA Metro Area",71645,3733,10166,14030,14414,10083,4800,6718,1208,2073,2422,1461,537,2022
"Bloomington, IL Metro Area",69391,4634,11796,15713,13551,8020,2517,5216,1096,1297,1837,2041,1673,2022
"Bloomington, IN Metro Area",70936,1877,9612,12222,16044,9373,3942,6089,2672,1499,2748,3513,1345,2022
"Bloomsburg-Berwick, PA Metro Area",34008,1359,6907,5113,5473,4733,1758,3132,1025,1501,1437,1164,406,2022
"Bluefield, WV-VA Micro Area",34436,2302,5253,3572,5208,5411,2093,3002,1050,715,3059,1252,1519,2022
"Boise City, ID Metro Area",333190,11066,32823,49758,61211,52443,26965,48695,9560,7859,18529,8943,5338,2022
"Boston-Cambridge-Newton, MA-NH Metro Area",2084693,44322,155864,213483,261449,264468,139256,329331,80899,114381,232861,185481,62898,2022
"Boulder, CO Metro Area",122424,2391,14967,24767,21412,19516,7138,12991,2772,3279,6859,4998,1334,2022
"Bowling Green, KY Metro Area",76995,1886,11273,11638,15753,11413,3553,9822,1817,2119,4274,2251,1196,2022
"Bozeman, MT Micro Area",58293,2491,9892,11874,12033,8780,2975,4663,746,1175,2168,948,548,2022
"Brainerd, MN Micro Area",39068,2444,6049,5443,6032,4519,2689,4458,1035,1034,1912,1605,1848,2022
"Bremerton-Silverdale-Port Orchard, WA Metro Area",114548,3197,12433,13144,18234,16823,9938,13469,2520,3900,6302,7020,7568,2022
"Bridgeport-Stamford-Norwalk, CT Metro Area",391269,9234,34905,50636,56050,51884,21709,48025,8027,18786,34045,36052,21916,2022
"Brownsville-Harlingen, TX Metro Area",158176,4275,14295,31971,30998,33667,10097,16161,1622,2738,6381,3570,2401,2022
"Brunswick, GA Metro Area",43359,1307,5395,8070,7993,5659,3231,5010,563,1381,3218,1454,78,2022
"Buffalo-Cheektowaga, NY Metro Area",490190,16876,57151,76017,90161,75733,47314,61924,14146,12450,20700,11405,6313,2022
"Burlington, NC Metro Area",73247,2151,5324,8959,11491,12489,6378,8647,3395,3370,6262,3329,1452,2022
"Burlington-South Burlington, VT Metro Area",106359,4443,12485,17989,14323,16583,9606,12469,3921,4598,5631,3373,938,2022
"California-Lexington Park, MD Metro Area",50229,812,3943,4598,12890,7987,2750,5625,1833,1179,2021,2938,3653,2022
"Canton-Massillon, OH Metro Area",169831,5741,18706,30635,30298,22171,12587,19598,7039,5329,9524,5493,2710,2022
"Cape Coral-Fort Myers, FL Metro Area",298597,5318,18105,32948,42481,45039,18161,48029,12712,16915,29494,22294,7101,2022
"Cape Girardeau, MO-IL Metro Area",43834,1963,7766,6777,6832,5663,1817,5712,835,909,3239,1602,719,2022
"Carbondale-Marion, IL Metro Area",52810,2551,7278,10989,9455,6721,3162,5521,1356,707,2553,1412,1105,2022
"Carson City, NV Metro Area",22684,405,3858,3910,5578,1297,1035,2532,587,845,1837,682,118,2022
"Casper, WY Metro Area",35392,2178,7061,9110,9244,3796,600,1403,266,104,443,274,913,2022
"Cedar Rapids, IA Metro Area",122304,5119,18324,24143,22844,16558,9422,11032,2802,2578,4605,4170,707,2022
"Centralia, WA Micro Area",31316,967,4065,3087,5310,3640,1359,3250,1124,1171,3455,1836,2052,2022
"Chambersburg-Waynesboro, PA Metro Area",67125,3086,6609,9612,9841,9424,8080,7660,1810,2408,3085,3123,2387,2022
"Champaign-Urbana, IL Metro Area",90812,3428,12735,24711,19815,12764,5129,6141,1060,1003,2333,896,797,2022
"Charleston, WV Metro Area",91081,2800,9432,14187,14958,14498,4662,10587,2905,3359,7492,2736,3465,2022
"Charleston-North Charleston, SC Metro Area",364686,5654,29318,43511,53754,50624,29158,62049,12093,14145,34175,22557,7648,2022
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1091947,23872,80754,130271,179652,162415,87667,172644,41271,41482,103261,49588,19070,2022
"Charlottesville, VA Metro Area",85554,2313,7057,13236,16233,12783,5557,12099,3845,3714,3696,3307,1714,2022
"Chattanooga, TN-GA Metro Area",238393,5335,21383,34423,43543,39413,18854,37817,6982,6348,14444,4979,4872,2022
"Cheyenne, WY Metro Area",48176,2285,8506,12813,12354,4687,769,3877,311,97,973,1097,407,2022
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3923570,74808,277281,418231,485558,490053,272667,619693,154547,217339,453466,351782,108145,2022
"Chico, CA Metro Area",80272,3954,13309,17611,16641,5932,2893,8045,1505,1693,3138,3777,1774,2022
"Chillicothe, OH Micro Area",30596,909,2238,5741,6009,4070,2632,3153,392,793,1906,1057,1696,2022
"Cincinnati, OH-KY-IN Metro Area",961388,22022,72698,122969,147954,156603,90018,148781,45273,41742,64974,31593,16761,2022
"Clarksburg, WV Micro Area",34474,827,3849,4846,6547,5998,1916,4618,655,1331,1564,1528,795,2022
"Clarksville, TN-KY Metro Area",146029,4209,15796,19547,22156,26385,9827,16172,2281,3490,12383,10072,3711,2022
"Clearlake, CA Micro Area",19009,1789,2274,2308,2689,2210,364,1784,445,788,1099,1380,1879,2022
"Cleveland, TN Metro Area",56061,1552,5969,7843,8441,8470,3365,7119,2908,1981,4522,2190,1701,2022
"Cleveland-Elyria, OH Metro Area",847264,22313,78161,115461,135659,144982,76990,122704,29320,33029,51399,23275,13971,2022
"Coeur d'Alene, ID Metro Area",70215,1304,8549,11395,13287,10631,4732,8140,2166,2758,3374,2673,1206,2022
"College Station-Bryan, TX Metro Area",118958,3439,14091,25629,28017,15133,4873,12756,1335,2455,5231,3391,2608,2022
"Colorado Springs, CO Metro Area",328360,11605,32045,43625,63602,59948,24285,43077,9490,8956,13816,11019,6892,2022
"Columbia, MO Metro Area",96684,3032,13785,17775,21788,13583,4856,8154,2735,2181,4495,2807,1493,2022
"Columbia, SC Metro Area",358826,8682,30109,45014,58202,62229,26104,55298,12610,12619,27026,13342,7591,2022
"Columbus, GA-AL Metro Area",123492,6063,13299,20311,23117,22922,8502,12528,1919,3771,5156,2507,3397,2022
"Columbus, IN Metro Area",34570,2131,3686,6347,7417,4531,1675,2865,1655,1029,1840,1080,314,2022
"Columbus, OH Metro Area",901308,20704,86087,125582,147692,164067,87281,117992,33296,30422,49314,26794,12077,2022
"Concord, NH Micro Area",66142,3174,6451,7903,7741,11424,3529,9591,1948,2672,6230,3884,1595,2022
"Cookeville, TN Micro Area",46964,890,3274,7215,9806,7574,2325,8897,1329,430,2411,1536,1277,2022
"Corning, NY Micro Area",37863,1942,6494,6976,5216,4134,2313,3724,1201,776,2311,1760,1016,2022
"Corpus Christi, TX Metro Area",182839,4960,17455,28084,49409,33328,8296,23276,2763,2326,5898,4565,2479,2022
"Corvallis, OR Metro Area",39934,1403,6871,10208,7618,4542,1215,2685,511,415,1350,1514,1602,2022
"Crestview-Fort Walton Beach-Destin, FL Metro Area",131004,4396,15480,18486,21251,15003,8594,13267,3343,5965,12320,9399,3500,2022
"Cullman, AL Micro Area",38782,1764,4703,5309,6140,4500,2537,3904,306,665,4734,3315,905,2022
"Cumberland, MD-WV Metro Area",33395,1152,6368,4771,6878,4929,2783,2310,444,137,1507,1383,733,2022
"Dallas-Fort Worth-Arlington, TX Metro Area",3335688,72885,229198,375880,480214,486798,252635,547273,125538,153352,342236,208284,61395,2022
"Dalton, GA Metro Area",63420,1562,7196,11920,10505,11391,5089,8374,901,1322,2741,1159,1260,2022
"Danville, IL Metro Area",27739,962,3836,6866,4873,3249,991,2143,539,863,1725,1104,588,2022
"Danville, VA Micro Area",37537,1428,2149,4863,7355,6687,2004,6242,593,921,1990,2276,1029,2022
"Daphne-Fairhope-Foley, AL Metro Area",96893,1539,9803,11822,13462,14063,7860,14485,2656,3444,9826,5389,2544,2022
"Davenport-Moline-Rock Island, IA-IL Metro Area",166093,8154,22010,28496,35950,28665,12004,12440,3134,2922,6422,3173,2723,2022
"Dayton-Kettering, OH Metro Area",346044,9185,37672,55266,69703,59954,30548,37232,10735,7776,13985,9387,4601,2022
"Decatur, AL Metro Area",64583,1398,7144,9885,7449,8749,5116,8268,2966,2720,6674,2443,1771,2022
"Decatur, IL Metro Area",39946,1264,4896,8475,10796,7294,1761,2195,403,462,1192,867,341,2022
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",254517,6755,24473,35069,40658,30346,16062,33233,8394,9646,23351,20324,6206,2022
"Denver-Aurora-Lakewood, CO Metro Area",1277225,18247,93098,138517,191308,203018,105728,221175,53365,60805,109790,61327,20847,2022
