Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"College Station-Bryan, TX Metro Area",115962,4324,13688,27678,31713,15469,3857,9254,1607,950,3578,2004,1840,2015
"Colorado Springs, CO Metro Area",321706,7342,28212,46602,62457,65013,24537,39425,7398,6260,15234,12672,6554,2015
"Columbia, MO Metro Area",85454,2771,10960,21263,18162,11801,4390,7419,1613,1604,3642,649,1180,2015
"Columbia, SC Metro Area",368110,19279,27943,50382,59002,61912,30467,53976,11688,11252,23534,13257,5418,2015
"Columbus, GA-AL Metro Area",126751,3888,9161,18609,28004,24732,10111,13273,3196,3118,7849,2457,2353,2015
"Columbus, IN Metro Area",38540,1509,5103,6831,8902,6413,1641,3474,1136,584,1515,750,682,2015
"Columbus, OH Metro Area",946104,23419,81148,127607,166871,166176,80482,131597,32605,37060,59240,27586,12313,2015
"Concord, NH Micro Area",69331,2744,7621,8967,9137,10791,4280,8821,2036,3396,5635,3951,1952,2015
"Cookeville, TN Micro Area",43394,1135,4003,6099,7280,8262,1965,7611,503,490,3427,2093,526,2015
"Coos Bay, OR Micro Area",22293,1488,6068,4351,3570,2340,740,2316,121,179,453,404,263,2015
"Corning, NY Micro Area",39197,1745,5936,7051,4644,6388,2281,4214,1503,1047,2262,1581,545,2015
"Corpus Christi, TX Metro Area",195191,7349,21493,40156,39981,36433,10494,19591,3114,2850,6996,3524,3210,2015
"Corvallis, OR Metro Area",37605,869,7557,9454,7375,5469,1385,1813,391,573,1114,891,714,2015
"Crestview-Fort Walton Beach-Destin, FL Metro Area",114845,4371,12354,18675,17519,15724,6758,16380,2691,3540,7931,6254,2648,2015
"Cullman, AL Micro Area",29813,1800,5095,4568,3186,3494,1380,2200,618,570,3983,2327,592,2015
"Des Moines-West Des Moines, IA Metro Area",314163,12508,35210,52233,64771,60461,25351,35340,5157,6121,7751,5159,4101,2015
"Detroit-Warren-Dearborn, MI Metro Area",1856289,33663,143713,225075,280841,285991,133879,281157,72791,93057,180178,95480,30464,2015
"Cumberland, MD-WV Metro Area",37666,1662,4698,7301,5006,8138,2601,2937,541,750,1306,1378,1348,2015
"Dallas-Fort Worth-Arlington, TX Metro Area",3279183,57746,247412,380565,461402,476865,206224,543315,113778,160638,345150,213640,72448,2015
"Dalton, GA Metro Area",63089,789,3068,9031,13518,12972,6825,9802,1609,226,2592,1310,1347,2015
"Danville, IL Metro Area",30447,1551,4949,7043,5372,3809,1489,2227,663,507,1605,843,389,2015
"Danville, VA Micro Area",44190,831,5497,8917,10434,5721,1911,4130,1438,408,2216,1722,965,2015
"Daphne-Fairhope-Foley, AL Metro Area",79787,1858,6557,10150,10876,14450,4019,14918,1789,1796,8252,3237,1885,2015
"Davenport-Moline-Rock Island, IA-IL Metro Area",174644,7112,23280,31754,31736,30354,15741,16340,3710,2757,7009,2645,2206,2015
"Dayton, OH Metro Area",351778,10241,44810,58395,70285,57559,24888,40864,8874,7574,13800,9818,4670,2015
"Decatur, AL Metro Area",61154,1169,6606,6307,10517,7547,4548,10179,1985,3272,6673,1798,553,2015
"Decatur, IL Metro Area",44830,2060,6091,11659,9606,6525,1582,2990,565,542,1745,1086,379,2015
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",231557,3344,21418,36704,40938,37767,15138,28741,5791,8142,15885,12587,5102,2015
"Denver-Aurora-Lakewood, CO Metro Area",1365572,24910,90628,143510,203951,211351,102047,223364,54779,68752,135421,80567,26292,2015
"Dothan, AL Metro Area",58275,1592,7208,8064,11352,8797,2906,10139,721,1546,2656,2014,1280,2015
"Dover, DE Metro Area",74717,1853,8995,11676,11857,10753,4370,7769,1873,2174,5425,6032,1940,2015
"DuBois, PA Micro Area",30947,2227,4753,5353,3942,3535,1287,3136,910,654,2689,1574,887,2015
"Dubuque, IA Metro Area",47387,3751,8447,10553,10248,6007,2048,3503,664,612,577,433,544,2015
"Duluth, MN-WI Metro Area",128165,6418,21315,24666,21500,18190,8045,10701,2520,3900,5513,3639,1758,2015
"Dunn, NC Micro Area",51289,1466,3712,4720,6276,7465,2723,9852,1919,2426,6340,3433,957,2015
"Durham-Chapel Hill, NC Metro Area",257942,4536,21210,42164,49061,44245,19575,33263,6312,10025,15181,8923,3447,2015
"East Stroudsburg, PA Metro Area",70816,1675,6186,6421,7967,9150,3778,8300,1388,2901,7396,5523,10131,2015
"Eau Claire, WI Metro Area",81411,2787,13213,17395,17411,10543,5454,7320,762,893,2081,1843,1709,2015
"El Centro, CA Metro Area",57273,1305,9596,11952,10409,6672,4527,6061,1185,1141,1587,1231,1607,2015
"Elmira, NY Metro Area",37641,2380,5660,7278,6749,4202,2054,3449,631,1220,1856,1419,743,2015
"El Paso, TX Metro Area",340340,6505,27804,55826,60980,61106,23020,57481,6155,12376,15595,6871,6621,2015
"Erie, PA Metro Area",120126,6585,16447,23536,23477,16517,7910,12696,2615,2310,3558,2244,2231,2015
"Eugene, OR Metro Area",154365,5839,19831,32497,30348,23856,9843,14128,2800,3470,3875,5339,2539,2015
"Eureka-Arcata-Fortuna, CA Micro Area",51459,4342,9734,9931,7595,7328,2437,4801,388,1509,1676,644,1074,2015
"Evansville, IN-KY Metro Area",145839,4778,17725,23453,31223,25226,10281,15377,3274,3615,6096,3316,1475,2015
"Fairbanks, AK Metro Area",51089,1830,6976,10475,11879,8063,4230,4817,570,584,476,401,788,2015
"Elizabeth City, NC Micro Area",24663,564,2125,3664,3955,2350,1923,1525,514,392,2394,3322,1935,2015
"Elizabethtown-Fort Knox, KY Metro Area",64295,2723,8240,8947,10054,8300,3434,8253,1860,1533,6366,3145,1440,2015
"Elkhart-Goshen, IN Metro Area",86321,3366,9243,18014,22885,11899,6647,7665,1517,1003,2757,668,657,2015
"Fargo, ND-MN Metro Area",124146,4107,19708,28203,32586,19753,5080,7122,1068,1546,2619,1493,861,2015
"Faribault-Northfield, MN Micro Area",29725,2625,5147,3835,3178,3871,1689,2806,1119,1088,2413,1575,379,2015
"Farmington, MO Micro Area",26365,1289,4935,5476,4892,2821,686,1374,198,93,1327,2551,723,2015
"Farmington, NM Metro Area",47908,1887,6255,7898,9569,5957,2674,5334,775,1128,2885,2381,1165,2015
"Fayetteville, NC Metro Area",158191,6159,18048,22475,30177,29287,11241,23147,3114,3289,6553,2750,1951,2015
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",229845,9584,26728,39492,45179,36280,13558,24361,5434,6760,13197,6660,2612,2015
"Findlay, OH Micro Area",36218,2727,6794,7878,7072,4014,1680,3093,565,544,854,681,316,2015
"Flagstaff, AZ Metro Area",62291,3234,13105,14176,13150,5932,1585,3701,634,1004,1981,1994,1795,2015
"Flint, MI Metro Area",159764,4911,14507,24031,27613,28815,9976,13535,3852,4551,11257,12571,4145,2015
"Florence, SC Metro Area",80222,2719,8203,14296,14769,12504,5454,10862,1394,1754,3509,1898,2860,2015
"Florence-Muscle Shoals, AL Metro Area",56998,1267,6545,10172,11647,7891,2582,5800,1677,956,3988,3739,734,2015
"Fond du Lac, WI Metro Area",50068,2851,7868,12038,6606,6469,2529,3627,1242,1031,3248,1325,1234,2015
"Forest City, NC Micro Area",25504,681,2127,3543,5906,4744,1784,2031,696,201,2303,1093,395,2015
"Fort Collins, CO Metro Area",160759,5126,19894,28487,29410,25247,10321,15153,2470,3521,10863,8652,1615,2015
"Fort Smith, AR-OK Metro Area",109576,4580,14637,20756,20396,17240,5911,13691,2128,2109,4026,1786,2316,2015
"Fort Wayne, IN Metro Area",195458,5805,19227,31818,41461,38154,16740,19899,4633,3924,6937,3792,3068,2015
"Frankfort, KY Micro Area",34438,1383,5567,6198,5853,3607,2563,3715,641,1105,2556,1045,205,2015
"Fresno, CA Metro Area",364176,8198,33461,59473,87923,62050,22094,45213,3895,7303,16703,12125,5738,2015
"Gadsden, AL Metro Area",40906,1117,4651,7192,8437,4704,2922,4771,584,1082,3101,1881,464,2015
"Gainesville, FL Metro Area",120227,1819,9215,19416,25262,25432,7601,15187,2687,2178,6266,2951,2213,2015
"Gainesville, GA Metro Area",80931,2187,5271,12800,13525,16025,5444,10723,1289,2099,4341,5166,2061,2015
"Gallup, NM Micro Area",22959,1893,3369,5846,3254,2372,583,2155,315,494,1524,558,596,2015
"Gettysburg, PA Metro Area",48465,1838,5013,7140,7462,6022,2559,6172,1411,1732,5061,2996,1059,2015
"Glenwood Springs, CO Micro Area",39942,2008,6219,6214,4901,4033,1750,3638,289,1558,2959,4582,1791,2015
"Goldsboro, NC Metro Area",51893,1498,6810,10735,9653,7339,3493,4510,1608,918,2813,1878,638,2015
"Grand Forks, ND-MN Metro Area",54318,5172,14913,14539,9228,3133,1184,2359,425,778,876,1165,546,2015
"Grand Island, NE Metro Area",43103,2795,8062,9659,8851,4643,1411,3556,486,838,871,1293,638,2015
"Grand Junction, CO Metro Area",64800,1325,9632,11665,15780,12594,2758,4982,239,481,1385,1823,2136,2015
"Grand Rapids-Wyoming, MI Metro Area",491140,16080,57673,84284,83793,86105,37327,52323,13656,13764,24795,11921,9419,2015
"Grants Pass, OR Metro Area",29759,2507,4571,5145,5646,2927,895,3079,479,1235,1925,1138,212,2015
"Great Falls, MT Metro Area",38016,1611,6346,10413,10917,4165,988,1857,257,95,631,357,379,2015
"Greeley, CO Metro Area",128459,3336,13156,16012,18853,19615,8726,16050,4813,5146,11267,7767,3718,2015
"Green Bay, WI Metro Area",157545,4854,25760,31114,30730,23390,8311,13676,4038,3726,5381,4020,2545,2015
"Greeneville, TN Micro Area",27130,364,4069,4117,3981,5321,2205,2501,1245,624,1314,1018,371,2015
"Greenfield Town, MA Micro Area",32985,1873,4430,4610,5055,3884,2016,4057,1192,1465,2069,1594,740,2015
"Greensboro-High Point, NC Metro Area",327014,8934,32386,54079,61837,57056,27812,38692,8810,7451,16042,8893,5022,2015
"Greenville, NC Metro Area",77840,3991,11463,17541,16058,8601,3876,7238,2234,1210,2353,1786,1489,2015
"Greenville-Anderson-Mauldin, SC Metro Area",373791,9382,39929,50923,73674,57867,28184,48838,15215,12574,24796,8445,3964,2015
"Greenwood, SC Micro Area",37709,1494,6305,6451,6453,3919,3892,3794,618,775,1853,1716,439,2015
"Glens Falls, NY Metro Area",58309,2204,7892,9678,8297,7646,3125,7440,1523,1691,4314,3508,991,2015
"Hilo, HI Micro Area",76909,1710,10211,12879,12454,9686,3938,9774,2153,2759,5951,2952,2442,2015
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",80235,2343,8969,12371,13051,12195,5133,9327,1275,2775,8463,2569,1764,2015
"Hinesville, GA Metro Area",32761,2032,3604,5082,5226,5776,1331,2654,603,1211,1160,3805,277,2015
"Guayama, PR Metro Area",17487,1129,415,4645,3647,2929,262,1950,50,203,386,1656,215,2015
"Gulfport-Biloxi-Pascagoula, MS Metro Area",157889,2407,14686,25680,28512,29569,10541,20576,2703,4404,9198,4088,5525,2015
"Hagerstown-Martinsburg, MD-WV Metro Area",111810,3130,8130,17715,16975,17679,5513,12778,3518,3945,7332,7305,7790,2015
"Hammond, LA Metro Area",56026,1896,5675,6498,8604,6129,2214,4633,1688,1078,8514,7570,1527,2015
"Hanford-Corcoran, CA Metro Area",53900,3188,8812,8919,8748,5374,2898,5489,1893,1125,4187,2129,1138,2015
"Harrisburg-Carlisle, PA Metro Area",266690,8401,30182,41536,47208,42634,18539,34084,6527,7156,16610,8956,4857,2015
"Harrisonburg, VA Metro Area",57331,2862,8770,9551,12885,8282,3107,5488,1274,1207,2179,565,1161,2015
"Hartford-West Hartford-East Hartford, CT Metro Area",573412,14864,55715,82804,89223,97789,43461,79837,18157,24681,38000,19936,8945,2015
"Hattiesburg, MS Metro Area",62273,1713,7185,12169,11859,9319,3947,7101,1259,1313,2110,1832,2466,2015
"Helena, MT Micro Area",36174,2128,6196,8877,8792,4745,1379,1757,379,287,622,700,312,2015
"Hermiston-Pendleton, OR Micro Area",36793,2405,7184,6852,6770,3848,2394,2306,363,1238,2433,663,337,2015
"Hickory-Lenoir-Morganton, NC Metro Area",148817,2896,14003,23434,29019,24703,13202,17103,4984,4464,7432,5097,2480,2015
"Hobbs, NM Micro Area",28403,1185,6618,5640,6768,2651,262,2073,223,401,823,1015,744,2015
"Holland, MI Micro Area",50856,1070,6079,6968,6310,7375,4649,8069,3229,1521,3575,1220,791,2015
"Homosassa Springs, FL Metro Area",39700,1665,4709,7278,5505,6490,2201,5410,519,830,1507,2161,1425,2015
"Hot Springs, AR Metro Area",38687,2152,4693,6751,7866,7709,1271,3932,239,192,1439,1001,1442,2015
"Houma-Thibodaux, LA Metro Area",87310,3360,10788,14807,13493,11031,3314,11864,2178,2471,5579,5159,3266,2015
"Houston-The Woodlands-Sugar Land, TX Metro Area",3013585,47220,191889,324237,391401,398305,159108,558720,95160,137841,352080,280232,77392,2015
"Huntington-Ashland, WV-KY-OH Metro Area",136005,5911,18306,18528,22364,20782,11141,14949,4364,3689,8649,5094,2228,2015
"Huntsville, AL Metro Area",195863,3466,17657,29113,36975,37562,16084,30189,5738,4466,11389,2198,1026,2015
"Huntsville, TX Micro Area",29168,344,2962,3921,3558,4096,2669,4291,373,820,2710,1995,1429,2015
"Hutchinson, KS Micro Area",28963,1156,5375,8308,6027,2643,622,2004,126,678,1086,640,298,2015
"Idaho Falls, ID Metro Area",56582,2344,9837,12569,10010,7063,2012,4370,809,793,2457,2928,1390,2015
"Indiana, PA Micro Area",35236,2096,5349,5292,5822,4902,1736,3492,862,750,2089,1409,1437,2015
"Indianapolis-Carmel-Anderson, IN Metro Area",923367,20230,85078,110506,142634,158951,81309,138511,34655,38663,66563,32552,13715,2015
"Iowa City, IA Metro Area",89569,2787,12604,18849,16708,16946,5847,9366,1571,933,2174,1299,485,2015
"Ithaca, NY Metro Area",44873,1945,6644,8700,9060,9196,2589,2818,611,637,1128,864,681,2015
"Jackson, MI Metro Area",62599,2912,8616,11862,10091,10034,3486,5078,2127,1268,3507,2277,1341,2015
"Jackson, MS Metro Area",246319,5005,19430,29323,44887,43548,18030,48068,5728,6602,13790,7760,4148,2015
"Jackson, TN Metro Area",57755,2155,7317,13438,11599,8910,3109,4383,903,1242,1858,1649,1192,2015
"Jacksonville, FL Metro Area",638851,8893,43763,73212,96963,117143,47749,111368,23028,25513,55151,24324,11744,2015
"Jacksonville, NC Metro Area",85576,5690,10947,12894,14228,13522,4288,13026,3152,496,4394,2198,741,2015
"Jamestown-Dunkirk-Fredonia, NY Micro Area",54202,4230,10896,12391,8874,5889,2624,3542,1017,1128,1732,1341,538,2015
"Janesville-Beloit, WI Metro Area",75158,2715,11984,12093,13067,7132,5096,7221,1719,3298,6438,3361,1034,2015
"Jefferson City, MO Metro Area",68582,3093,7771,13644,12437,9468,4223,6809,1972,1502,5034,1914,715,2015
"Johnson City, TN Metro Area",80456,3803,11195,12638,14625,13952,5206,7852,2789,1641,4441,1123,1191,2015
"Johnstown, PA Metro Area",54792,2248,8316,8911,9632,7820,2469,4767,1652,1678,3349,1694,2256,2015
"Jonesboro, AR Metro Area",54557,3308,8612,13948,9834,7859,1783,3822,234,759,1583,1647,1168,2015
"Joplin, MO Metro Area",80851,4088,11851,15389,17677,11392,5058,7213,1450,1059,3056,1547,1071,2015
"Kahului-Wailuku-Lahaina, HI Metro Area",76363,3062,12019,13171,13172,9017,3923,8866,1245,2407,6074,2730,677,2015
"Aberdeen, WA Micro Area",26256,1421,4487,4740,2628,2515,1792,3182,594,828,1820,1644,605,2015
"Abilene, TX Metro Area",74304,4654,14258,18747,16777,8434,2475,5182,418,955,974,681,749,2015
"Adrian, MI Micro Area",39422,2317,6084,3688,3241,3670,2634,4139,1336,1711,5540,3911,1151,2015
"Aguadilla-Isabela, PR Metro Area",77081,4002,9160,12491,12519,7878,4889,6100,2331,2904,7284,4903,2620,2015
"Akron, OH Metro Area",326895,10550,32634,48207,53138,50759,27493,38887,11443,14080,22017,11686,6001,2015
"Alamogordo, NM Micro Area",23544,723,4218,5826,3110,4447,2152,1649,73,134,640,267,305,2015
"Albany, GA Metro Area",58177,2258,7835,8432,12402,9654,3574,6374,1090,1297,2820,1662,779,2015
"Albany, OR Metro Area",45551,2480,5323,9290,4646,6757,4073,5295,621,2071,3308,1164,523,2015
"Albany-Schenectady-Troy, NY Metro Area",420091,14085,40005,59415,74072,70671,33237,55752,13280,13510,26516,13366,6182,2015
"Albertville, AL Micro Area",37984,1684,5094,8076,5279,3470,1064,3120,751,1000,4964,2367,1115,2015
"Albuquerque, NM Metro Area",383270,8336,33142,59712,70404,68792,24321,58614,9844,11005,20626,11586,6888,2015
"Alexandria, LA Metro Area",59656,3033,7836,10974,11932,9781,3333,5150,1533,1433,1947,987,1717,2015
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",383580,11313,32563,47147,59007,61924,25588,48848,11701,11955,29252,28567,15715,2015
"Altoona, PA Metro Area",53956,2368,9374,10324,9392,7071,3017,5911,970,690,2403,1141,1295,2015
"Amarillo, TX Metro Area",122186,4864,17986,25345,33521,17008,4441,10190,1475,898,2582,2773,1103,2015
"Ames, IA Metro Area",48205,2222,8173,12164,10423,5574,1490,2117,856,1728,1596,1377,485,2015
"Anchorage, AK Metro Area",190999,6420,23036,35817,40490,34625,8048,14533,2541,4302,7955,8346,4886,2015
"Ann Arbor, MI Metro Area",166678,3428,14019,24476,31266,32778,10954,19571,4465,6263,11873,5499,2086,2015
"Anniston-Oxford-Jacksonville, AL Metro Area",44660,1624,4192,7300,4965,8323,3155,5882,969,2085,2671,1953,1541,2015
"Appleton, WI Metro Area",120635,4952,18197,23659,21138,22343,7406,10825,2629,2596,3508,1760,1622,2015
"Arecibo, PR Metro Area",44554,756,3499,4713,5408,8978,2164,8048,1550,2304,3020,2868,1246,2015
"Asheville, NC Metro Area",182567,5905,16273,28037,41177,37557,12471,19749,4040,4430,6998,3839,2091,2015
"Ashtabula, OH Micro Area",38178,1913,8017,5851,4198,4415,1789,3229,744,2117,2519,2630,756,2015
"Athens, OH Micro Area",25666,902,4541,4186,6892,4262,1192,1226,338,375,448,980,324,2015
"Athens, TX Micro Area",31828,791,4254,3744,4575,3155,1566,4231,351,648,2096,4816,1601,2015
"Athens-Clarke County, GA Metro Area",87620,2462,11601,17945,20124,13430,3483,7861,2002,1372,2704,3210,1426,2015
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2533900,40298,150012,252194,321136,349995,162464,414285,93763,120823,293170,247346,88414,2015
"Atlantic City-Hammonton, NJ Metro Area",123802,3275,11802,18214,23436,22273,10661,11988,2348,2956,6005,6750,4094,2015
"Auburn, NY Micro Area",35340,2196,4621,5968,5189,3706,1946,3451,1260,1939,2990,1244,830,2015
"Auburn-Opelika, AL Metro Area",69569,968,8917,14766,10335,11345,3739,9617,1071,1828,3521,2357,1105,2015
"Augusta-Richmond County, GA-SC Metro Area",241184,5802,17145,33785,47641,39294,15714,39162,7372,6462,17550,8208,3049,2015
"Augusta-Waterville, ME Micro Area",54224,2784,6238,7450,8105,7993,3498,6693,1776,2214,3289,3031,1153,2015
"Austin-Round Rock, TX Metro Area",955039,18119,78462,117852,149462,148200,67307,145900,30566,40628,89399,53446,15698,2015
"Bakersfield, CA Metro Area",329478,7474,33992,52797,74371,55415,19945,35686,5627,7644,16288,12322,7917,2015
"Baltimore-Columbia-Towson, MD Metro Area",1314474,20649,83974,139485,165984,187335,84233,211904,46549,65585,150884,107996,49896,2015
"Bangor, ME Metro Area",63096,3488,7923,10922,12574,9084,2792,7208,974,1499,3266,1553,1813,2015
"Barnstable Town, MA Metro Area",95119,2999,15542,19213,16807,12287,4301,9210,1249,2604,4326,3424,3157,2015
"Baton Rouge, LA Metro Area",370048,8485,29495,40320,61454,60166,23422,56768,10104,12346,36224,21814,9450,2015
"Battle Creek, MI Metro Area",51783,1636,6283,11813,9256,6196,3083,6284,994,1710,2617,1285,626,2015
"Blacksburg-Christiansburg-Radford, VA Metro Area",78191,3387,10526,15401,14277,9773,3496,8738,1820,1801,4832,3257,883,2015
"Bay City, MI Metro Area",46006,1026,5824,8201,6897,7538,5042,4897,1114,908,2026,1346,1187,2015
"Marion, OH Micro Area",23629,732,3670,5702,4134,3058,966,1154,412,801,1601,1212,187,2015
"Marquette, MI Micro Area",28207,2070,6374,5921,3499,4186,1383,2307,477,549,728,319,394,2015
"Marshall, TX Micro Area",25743,703,3628,5325,4662,2368,842,3152,920,1132,1899,837,275,2015
"Martinsville, VA Micro Area",25099,1045,3199,3546,5313,5332,1276,1482,867,440,1000,819,780,2015
"Mayagüez, PR Metro Area",25125,214,2294,4503,5511,4418,1884,3987,328,120,781,866,219,2015
"McAllen-Edinburg-Mission, TX Metro Area",288188,7443,34473,44202,64269,50409,19811,34968,4639,5603,8013,6407,7951,2015
