Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Beaumont-Port Arthur, TX Metro Area",165618,5830,17726,29723,25882,31265,7174,24095,1796,4685,6694,7626,3122,2015
"Beaver Dam, WI Micro Area",41695,2342,7015,6032,4638,4241,2840,5064,1184,1494,4322,1711,812,2015
"Beckley, WV Metro Area",41957,1700,6224,7147,5896,5293,2248,3974,725,845,2153,3742,2010,2015
"Bellingham, WA Metro Area",96225,4406,12265,18070,18265,15396,6488,9532,2548,2080,3684,2303,1188,2015
"Bend-Redmond, OR Metro Area",69472,3329,10397,16315,14904,7758,5338,5101,506,1355,2874,633,962,2015
"Billings, MT Metro Area",81088,2551,8024,17410,23981,13979,3174,5123,879,778,1974,1671,1544,2015
"Binghamton, NY Metro Area",106706,3523,15963,21240,20979,18336,6100,8915,1417,2003,3023,2855,2352,2015
"Birmingham-Hoover, AL Metro Area",491796,10922,35128,57965,75845,80124,39558,80532,17561,20070,42044,24270,7777,2015
"Bismarck, ND Metro Area",68303,2848,12359,14365,20598,7999,1664,3552,277,447,1328,1528,1338,2015
"Bloomington, IL Metro Area",95657,3740,17297,23657,22698,10015,2966,5000,1424,1260,4378,2420,802,2015
"Bloomington, IN Metro Area",76597,3395,10316,14556,16591,11367,3091,5713,1240,942,3685,3711,1990,2015
"Bloomsburg-Berwick, PA Metro Area",35701,1103,4581,6831,5843,5917,1665,2551,1723,885,2416,1112,1074,2015
"Bluefield, WV-VA Micro Area",36857,618,5934,7189,7093,5056,1128,4382,599,719,1561,1770,808,2015
"Boise City, ID Metro Area",285721,8803,31766,45265,54031,53265,21722,32883,6676,8004,14844,6328,2134,2015
"Boston-Cambridge-Newton, MA-NH Metro Area",2380373,56116,168344,251994,283815,290997,127464,363263,78886,127121,280469,265060,86844,2015
"Boulder, CO Metro Area",148396,5376,16718,28287,23798,21502,9565,15995,3729,5294,9960,5392,2780,2015
"Bowling Green, KY Metro Area",70065,3694,8377,12412,13025,11511,3171,6947,1563,1709,3224,2752,1680,2015
"Bozeman, MT Micro Area",51828,3393,9502,11929,9523,7482,2524,3547,293,530,885,1020,1200,2015
"Brainerd, MN Micro Area",39673,2444,6423,7766,5794,5667,2399,3405,792,1049,1655,582,1697,2015
"Branson, MO Micro Area",34384,1877,3081,5639,5558,4082,1871,4336,523,834,3117,1965,1501,2015
"Bremerton-Silverdale, WA Metro Area",112909,2018,9395,16032,18871,17965,7855,12400,3391,2263,7499,7495,7725,2015
"Bridgeport-Stamford-Norwalk, CT Metro Area",437057,8789,41782,62956,69641,54290,20345,52166,10081,14605,31624,40882,29896,2015
"Brunswick, GA Metro Area",48226,2384,7446,8317,9230,7334,2242,4845,787,1701,2060,1083,797,2015
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",526531,13584,54316,85421,85457,93357,48205,72629,16878,15246,23751,10539,7148,2015
"Burlington, NC Metro Area",69790,1064,7519,12765,11015,10218,5006,7602,2570,3091,4836,2924,1180,2015
"Burlington-South Burlington, VT Metro Area",113484,4459,11391,16860,20758,18458,7753,13781,4660,4677,6370,2778,1539,2015
"California-Lexington Park, MD Metro Area",55323,2076,4409,5541,8226,6755,4299,8921,835,1926,4267,5074,2994,2015
"Canton-Massillon, OH Metro Area",187762,8834,22177,30373,33683,25306,12233,22639,6026,5606,11365,5983,3537,2015
"Cape Coral-Fort Myers, FL Metro Area",256415,5418,17080,26905,33151,49052,18399,46562,9230,9234,25860,10685,4839,2015
"Cape Girardeau, MO-IL Metro Area",44081,1854,7538,7361,8160,7217,3140,4052,633,733,1764,747,882,2015
"Carbondale-Marion, IL Metro Area",52820,1314,9156,9841,10413,7098,3173,4219,1514,1145,2468,1260,1219,2015
"Carson City, NV Metro Area",23592,767,4020,6015,4197,3118,618,1332,791,1310,945,157,322,2015
"Casper, WY Metro Area",38470,2277,4303,10969,9590,5880,1085,2297,52,426,411,459,721,2015
"Cedar Rapids, IA Metro Area",134652,4858,18756,28191,28454,20935,6956,11888,2940,2592,4654,2910,1518,2015
"Centralia, WA Micro Area",27536,1835,3428,4269,3018,3137,1594,2218,973,1312,1700,3005,1047,2015
"Chambersburg-Waynesboro, PA Metro Area",69585,2813,8715,9579,12157,9863,5261,9075,1479,2798,3121,3118,1606,2015
"Champaign-Urbana, IL Metro Area",112576,5767,13935,25491,22000,20498,7629,8759,1530,1507,2826,1796,838,2015
"Charleston, WV Metro Area",85174,2506,9742,14244,15822,14048,6848,9340,1720,2434,4208,2845,1417,2015
"Charleston-Mattoon, IL Micro Area",28182,2733,6846,5136,4368,2236,1259,2073,990,364,1085,1061,31,2015
"Charleston-North Charleston, SC Metro Area",344252,6479,28151,39086,49626,62773,26436,58110,11750,14818,30093,12953,3977,2015
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1097942,23078,83913,136780,165210,161619,80419,178035,40670,46038,104585,56301,21294,2015
"Charlottesville, VA Metro Area",104100,3282,13017,14002,18618,14877,6829,13069,2757,4039,8273,3266,2071,2015
"Chattanooga, TN-GA Metro Area",235744,6974,19146,34612,37695,47244,20929,30887,5685,6315,16461,6302,3494,2015
"Cheyenne, WY Metro Area",45129,2150,8708,13766,10451,4323,1165,1112,415,52,624,1161,1202,2015
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4375761,69059,298515,428487,524941,542093,270591,665420,161150,251054,533436,471036,159979,2015
"Brownsville-Harlingen, TX Metro Area",148847,3257,16723,27727,36803,24721,7213,19488,1320,2745,5437,2116,1297,2015
"Chico, CA Metro Area",84804,3440,17424,17217,13392,9291,4136,11031,950,1575,2912,1892,1544,2015
"Chillicothe, OH Micro Area",31301,1087,3245,5927,5294,5767,1034,2172,1246,726,1851,2237,715,2015
"Cincinnati, OH-KY-IN Metro Area",986894,22824,89170,121553,148005,167740,85285,146434,37626,47766,73373,31734,15384,2015
"Claremont-Lebanon, NH-VT Micro Area",102011,5093,13387,13846,14886,12825,6612,14688,3055,3564,8250,3308,2497,2015
"Clarksburg, WV Micro Area",35203,1364,4252,4877,5408,4458,2578,4390,831,1045,3291,1813,896,2015
"Clarksville, TN-KY Metro Area",123806,4326,17377,16006,23267,19744,6056,16325,2273,3640,6532,5938,2322,2015
"Clearlake, CA Micro Area",21079,1552,2825,1960,2677,1195,1385,1651,1739,605,2106,1833,1551,2015
"Cleveland, TN Metro Area",49314,1793,5798,8861,10391,6749,3160,3980,1242,1631,2861,2137,711,2015
"Cleveland-Elyria, OH Metro Area",923769,20182,80011,121926,145582,145564,84466,134757,38667,39274,67933,32159,13248,2015
"Coeur d'Alene, ID Metro Area",64487,3034,11335,10650,10522,8800,3567,6402,2063,1741,4362,1415,596,2015
