Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"California-Lexington Park, MD Metro Area",54214,1998,2943,6306,7431,7590,3783,5366,1635,1794,4775,5101,5492,2016
"Cape Girardeau, MO-IL Metro Area",39211,1913,5669,7115,6344,5475,3310,3999,722,671,2117,1043,833,2016
"Carbondale-Marion, IL Metro Area",49643,2602,9095,9840,8000,5990,2206,5305,1030,753,2349,1799,674,2016
"Carson City, NV Metro Area",22097,692,4586,5805,4054,1092,941,2028,410,152,1175,841,321,2016
"Casper, WY Metro Area",39907,2301,6312,9327,10597,6351,1600,1183,142,669,309,533,583,2016
"Cedar Rapids, IA Metro Area",133810,5778,16729,26586,26685,21656,8320,11957,3848,3357,4168,3056,1670,2016
"Centralia, WA Micro Area",27403,1745,2952,3442,3384,2743,1740,3795,568,966,3183,1735,1150,2016
"Chambersburg-Waynesboro, PA Metro Area",66858,2432,6935,9669,10697,11248,4897,6823,1585,1895,4940,3272,2465,2016
"Champaign-Urbana, IL Metro Area",114963,5585,12902,26064,23668,19423,7762,9355,2502,1671,3114,1670,1247,2016
"Charleston, WV Metro Area",86010,1986,9434,14478,17845,13053,7407,10066,2041,2515,3262,2540,1383,2016
"Charleston-Mattoon, IL Micro Area",27784,2324,6047,5660,2953,3762,1299,2387,472,952,991,745,192,2016
"Charleston-North Charleston, SC Metro Area",347503,5775,25583,40790,51770,58196,24845,60955,14436,15387,29600,15064,5102,2016
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1118520,14424,88397,130798,170966,172103,88096,186492,43045,49107,105525,51214,18353,2016
"Charlottesville, VA Metro Area",101944,3611,7549,15665,18833,14671,6364,15222,3066,2908,7785,4691,1579,2016
"Chattanooga, TN-GA Metro Area",232355,4260,22207,31901,35507,43269,21786,31079,7262,7639,16204,6499,4742,2016
"Cheyenne, WY Metro Area",45467,2350,8369,11941,12507,5181,1508,1127,21,268,1088,509,598,2016
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4407706,70339,297612,444456,517094,538337,264770,682962,168311,262816,540718,473301,146990,2016
"Chico, CA Metro Area",84854,4963,12699,18835,15262,7969,3908,11966,1461,1350,2054,2511,1876,2016
"Chillicothe, OH Micro Area",29886,1567,2545,4463,5868,3360,1704,3096,913,781,1720,2915,954,2016
"Cincinnati, OH-KY-IN Metro Area",993295,21001,87700,128751,153956,172536,83382,144553,37407,42371,72277,33758,15603,2016
