Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Aberdeen, WA Micro Area",23454,676,4468,3791,2905,2541,1441,3158,391,648,1532,1252,651,2010
"Abilene, TX Metro Area",69406,3301,12857,16947,16481,8496,1988,3625,330,1271,1507,1397,1206,2010
"Adrian, MI Micro Area",40357,1735,6009,5376,5987,3553,2416,3413,1596,1481,4429,2864,1498,2010
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",67320,4185,8048,12213,9309,7544,2785,8340,1459,2655,4463,3809,2510,2010
"Akron, OH Metro Area",310301,11325,33644,48228,51271,51629,23765,37723,8998,10110,21188,8702,3718,2010
"Albany, GA Metro Area",58258,2566,7872,13682,11128,8395,2789,5220,1231,1007,1837,1924,607,2010
"Albany-Lebanon, OR Micro Area",43025,1616,6467,8620,5314,4963,3519,5456,1050,1143,3161,1126,590,2010
"Albany-Schenectady-Troy, NY Metro Area",409900,12179,42792,67779,68391,66360,29056,63950,9265,12708,21548,11124,4748,2010
"Albertville, AL Micro Area",36711,1722,5369,6040,5103,3146,791,3976,1854,1069,4658,1853,1130,2010
"Albuquerque, NM Metro Area",379927,7635,30891,58033,70345,69418,24280,57382,7197,12511,24153,10302,7780,2010
"Alexandria, LA Metro Area",56453,2336,7367,10531,8987,8970,4608,5809,1044,1650,1501,1321,2329,2010
"Allegan, MI Micro Area",45299,3583,4933,6943,6480,6683,4075,5334,982,1752,2703,1102,729,2010
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",352634,9058,32488,54377,59539,51634,21730,38729,7671,10570,22378,30629,13831,2010
"Altoona, PA Metro Area",55525,3386,9720,11242,8849,8436,3436,3610,1224,1356,1611,1670,985,2010
"Amarillo, TX Metro Area",116300,5336,19478,26111,20496,19839,4464,11112,1130,1421,2809,2357,1747,2010
