Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"San Germ?n-Cabo Rojo, PR Metro Area",28309,334,3029,3715,3663,5365,881,6052,572,1541,1163,1225,769,2011
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",819208,14511,61935,108441,148340,141242,57917,127454,18876,29438,57411,38369,15274,2011
"San Juan-Caguas-Guaynabo, PR Metro Area",740356,13840,42565,69405,109877,93919,31652,138964,16988,34653,70227,82920,35346,2011
"San Luis Obispo-Paso Robles, CA Metro Area",107390,5733,16560,22400,15721,17145,5544,12012,1159,2175,3933,3122,1886,2011
"Santa Barbara-Santa Maria-Goleta, CA Metro Area",184998,8125,28277,43836,36633,20641,5977,17132,3083,3099,9842,6765,1588,2011
"Santa Cruz-Watsonville, CA Metro Area",117356,1739,15168,20680,19824,13199,3088,15534,2294,4815,9550,8515,2950,2011
"Santa Fe, NM Metro Area",64441,3097,8575,14110,9579,10126,2990,4870,1451,2149,4241,2038,1215,2011
"Santa Rosa-Petaluma, CA Metro Area",210265,7880,24483,35047,35542,30793,10963,21408,3518,6755,13337,13366,7173,2011
"Savannah, GA Metro Area",151069,3899,9130,20804,27300,32881,10473,22092,5223,4090,9097,3104,2976,2011
"Scranton--Wilkes-Barre, PA Metro Area",247027,9299,32259,46297,46329,39164,14035,21710,5513,5916,12797,7391,6317,2011
"Seaford, DE Micro Area",82696,4065,10258,10257,14506,12900,4741,8613,2385,2963,6203,3717,2088,2011
"Searcy, AR Micro Area",30916,2408,4156,6168,3550,4976,1063,2330,429,795,2412,1465,1164,2011
"Seattle-Tacoma-Bellevue, WA Metro Area",1608829,32583,122144,180346,231048,242543,111791,262410,55488,79220,154263,102565,34428,2011
"Sebastian-Vero Beach, FL Metro Area",49286,1704,4080,9215,9415,12482,2824,3687,517,1014,1546,1196,1606,2011
"Sebring, FL Micro Area",28437,1009,3545,6524,6384,4982,920,2030,242,560,1503,470,268,2011
"Seneca, SC Micro Area",25757,1329,3181,5065,5134,2937,1164,2302,459,811,1612,1391,372,2011
"Sevierville, TN Micro Area",40936,182,2150,4223,6414,6796,2802,8059,1364,2681,3339,1687,1239,2011
"Shawnee, OK Micro Area",27887,769,4110,5613,3700,3291,1589,2766,452,927,3084,1174,412,2011
"Sheboygan, WI Metro Area",54736,2747,8760,13733,10455,6849,3258,3077,775,467,1959,1846,810,2011
"Shelby, NC Micro Area",37952,1404,4024,7114,5501,6229,2022,4121,720,902,3078,1651,1186,2011
"Sherman-Denison, TX Metro Area",48763,2815,7811,7458,6686,5792,1959,3907,980,1740,4551,3510,1554,2011
"Show Low, AZ Micro Area",28725,2051,5928,5641,4119,2301,1637,3239,472,127,1134,1067,1009,2011
"Shreveport-Bossier City, LA Metro Area",176674,4407,19422,32181,35780,36076,7890,22082,2900,3577,6045,3425,2889,2011
"Sierra Vista-Douglas, AZ Micro Area",44915,2618,7306,8037,11106,4759,515,4756,423,935,2062,1393,1005,2011
"Sioux City, IA-NE-SD Metro Area",66872,3612,10361,17811,14900,7589,2382,5228,575,934,1320,1211,949,2011
"Sioux Falls, SD Metro Area",121081,6082,14736,25063,29322,20880,9677,6618,1103,1069,3301,1637,1593,2011
"Somerset, PA Micro Area",30891,2241,3429,5338,4725,4518,2075,3771,1035,738,1498,706,817,2011
"South Bend-Mishawaka, IN-MI Metro Area",136249,4776,16136,24569,26444,22996,10182,15137,2626,2912,5700,2182,2589,2011
"Southern Pines-Pinehurst, NC Micro Area",33630,1106,3918,5356,4239,5072,1462,5874,1105,1093,2278,944,1183,2011
"Spartanburg, SC Metro Area",117820,3239,11826,20308,21265,25211,8280,14066,2178,3300,4986,1621,1540,2011
"Spokane, WA Metro Area",190191,6666,19563,30161,34630,37195,12276,27245,3486,5119,7719,3280,2851,2011
"Springfield, IL Metro Area",97280,1997,13367,18067,24796,16967,5785,8990,1190,1526,1926,1418,1251,2011
"Springfield, MA Metro Area",305068,12564,34428,45178,49994,48100,22605,37528,8996,9982,17550,11814,6329,2011
"Springfield, MO Metro Area",188440,6481,23810,29990,35991,32578,12277,24642,4594,3503,7535,3823,3216,2011
"Springfield, OH Metro Area",53456,2794,7688,9115,9521,8475,2996,4261,1882,1276,2593,2237,618,2011
"State College, PA Metro Area",71381,3606,9362,14027,13005,12876,3432,7149,1399,1295,3146,1184,900,2011
"Statesboro, GA Micro Area",29260,1545,6807,5238,5688,2079,1150,1757,1016,595,1719,1192,474,2011
"Statesville-Mooresville, NC Micro Area",63471,1127,7124,8621,12777,9774,4468,6701,1099,3106,6413,1774,487,2011
"Staunton-Waynesboro, VA Micro Area",54723,2366,5431,7722,9485,9904,3311,6709,1499,1515,3648,1801,1332,2011
"Steubenville-Weirton, OH-WV Metro Area",49446,2012,6673,7362,6335,7675,2951,4908,1632,1951,3953,2875,1119,2011
"Stevens Point, WI Micro Area",33553,1127,5186,7203,5932,5261,1755,3363,735,317,1499,693,482,2011
"Stillwater, OK Micro Area",36184,2533,7259,9460,6051,3437,734,2263,259,951,1157,1183,897,2011
"Stockton, CA Metro Area",246254,8138,28197,36338,43718,31125,11272,24296,3233,6684,16061,25048,12144,2011
"Sumter, SC Metro Area",41244,1627,4019,8221,9999,6297,1022,3380,601,726,2049,2333,970,2011
"Sunbury, PA Micro Area",39048,1991,5265,6202,5556,6696,2169,5661,1209,803,1406,1532,558,2011
"Syracuse, NY Metro Area",282674,12122,33238,48928,51330,55369,15562,30552,6778,7798,11644,5990,3363,2011
"Talladega-Sylacauga, AL Micro Area",26675,1484,3126,5106,3555,3485,1581,3076,1175,447,1484,1677,479,2011
"Tallahassee, FL Metro Area",165874,3094,14774,24222,30051,32770,11965,27246,4533,3648,9627,2647,1297,2011
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1127587,26867,91794,140996,181408,178580,75185,182773,39843,43755,96351,52785,17250,2011
"Terre Haute, IN Metro Area",72727,3461,9712,13000,12874,10253,3261,7554,1297,2464,2843,3513,2495,2011
"Texarkana, TX-Texarkana, AR Metro Area",50143,2147,8708,10765,9823,6499,3164,4062,776,911,1249,863,1176,2011
"The Villages, FL Micro Area",18611,711,3155,1984,2130,2572,1183,2087,777,199,996,1888,929,2011
"Thomasville-Lexington, NC Micro Area",68895,1955,7454,9951,11387,9742,6400,8814,2333,3278,3811,2334,1436,2011
"Toledo, OH Metro Area",275772,12443,38119,46517,49071,50409,22652,25306,5990,5477,9067,6086,4635,2011
"Topeka, KS Metro Area",107507,4351,13139,21854,21596,18930,5409,8691,1976,2117,4086,3747,1611,2011
"Torrington, CT Micro Area",90274,6251,11511,11510,11250,11248,4245,10183,2515,3746,8620,6447,2748,2011
"Traverse City, MI Micro Area",61956,3042,7669,10064,10475,9488,4561,6980,1309,1626,2548,2538,1656,2011
"Trenton-Ewing, NJ Metro Area",164372,4103,16769,24270,29782,26142,8877,17017,4294,3751,9891,9489,9987,2011
"Truckee-Grass Valley, CA Micro Area",36476,1492,5151,5609,6794,4552,1672,3577,867,1095,2220,1237,2210,2011
"Tucson, AZ Metro Area",385778,11724,29544,55382,58877,65825,31302,61593,11158,14393,29502,10712,5766,2011
"Tullahoma, TN Micro Area",37105,794,5966,5930,5294,6096,2176,5192,1049,1196,1356,1243,813,2011
"Tulsa, OK Metro Area",413810,13887,48731,59946,78042,78399,30837,52597,9078,8928,17138,10336,5891,2011
"Tupelo, MS Micro Area",59512,1917,5171,12177,9866,10025,2774,9174,1055,2506,2764,1032,1051,2011
"Tuscaloosa, AL Metro Area",86177,2039,8081,14085,14898,18675,7259,9121,1842,2487,3319,3120,1251,2011
"Twin Falls, ID Micro Area",39218,3514,7660,8571,7838,3968,1161,3490,62,685,1033,459,777,2011
"Tyler, TX Metro Area",86429,2997,10573,13271,15740,15357,6054,11093,1521,1315,3876,3044,1588,2011
"Ukiah, CA Micro Area",34099,4517,7203,6599,5038,2740,1562,2694,531,720,461,1050,984,2011
"Utica-Rome, NY Metro Area",125578,5993,18887,22568,23841,17529,6348,13754,1804,2941,6778,2923,2212,2011
"Valdosta, GA Metro Area",51489,2388,5608,10676,10986,8596,1919,5932,931,310,2737,754,652,2011
"Vallejo-Fairfield, CA Metro Area",172215,4300,17627,27239,24378,20264,6568,18012,4400,8501,18941,13342,8643,2011
"Victoria, TX Metro Area",47737,3640,7611,9753,9437,4184,2371,4522,887,1132,1822,1555,823,2011
"Vineland-Millville-Bridgeton, NJ Metro Area",60990,2774,8991,12190,9761,5954,3340,5304,458,1170,5119,4192,1737,2011
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",781351,17887,68179,117662,146197,130532,49634,121272,20168,23439,48732,26988,10661,2011
"Visalia-Porterville, CA Metro Area",153853,8349,23284,29578,22216,19260,6466,16581,1966,4434,9038,9513,3168,2011
"Waco, TX Metro Area",99436,3299,12794,18932,21423,17046,7366,10960,1381,649,2784,1437,1365,2011
"Warner Robins, GA Metro Area",63389,2503,5440,12515,13931,11783,2916,8272,352,1420,2142,994,1121,2011
"Warsaw, IN Micro Area",35255,1554,4274,5144,6808,6392,2077,2898,663,638,2464,1708,635,2011
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2831822,39499,143262,226965,323180,336504,155138,439638,107353,167883,404210,364094,124096,2011
"Waterloo-Cedar Falls, IA Metro Area",79668,3959,15310,15919,18369,11217,3610,5276,1002,875,1544,1755,832,2011
"Watertown-Fort Atkinson, WI Micro Area",42226,2154,8276,5581,4881,4478,1919,4225,1116,1941,3686,3628,341,2011
"Watertown-Fort Drum, NY Micro Area",49568,3567,8042,10637,6606,7949,3226,4268,1364,558,1773,998,580,2011
"Wausau, WI Metro Area",64235,3133,10823,13682,11599,10582,3384,5160,1112,1386,1678,635,1061,2011
"Wenatchee-East Wenatchee, WA Metro Area",48304,1787,8325,10021,10278,7047,1488,4359,288,1261,2025,635,790,2011
"Wheeling, WV-OH Metro Area",60730,2975,8000,10042,10586,10363,3822,6324,1564,990,3195,1962,907,2011
"Whitewater, WI Micro Area",47341,2290,6130,8274,7431,4871,2491,4296,1340,1833,4358,2761,1266,2011
"Wichita, KS Metro Area",283062,10716,35048,54311,63771,51806,18320,29030,3779,4707,6890,3207,1477,2011
"Wichita Falls, TX Metro Area",63859,3062,13302,16059,12192,9437,3442,2999,357,376,929,996,708,2011
"Williamsport, PA Metro Area",51885,3452,7741,9804,9224,5938,3511,5306,1143,861,1809,1393,1703,2011
"Willimantic, CT Micro Area",55180,2024,5228,9177,7514,7289,2236,6767,2304,2148,6687,2895,911,2011
"Wilmington, NC Metro Area",143967,3716,13968,23701,30824,24789,7920,18994,2874,3936,6092,5234,1919,2011
"Wilson, NC Micro Area",33178,1245,4753,7929,7919,4399,1257,2032,487,377,1391,626,763,2011
"Winchester, VA-WV Metro Area",56574,1431,2886,11588,9857,6045,2954,3556,699,1410,5502,7318,3328,2011
"Winston-Salem, NC Metro Area",199682,5244,20229,32008,39763,36142,15127,23761,4762,4547,9676,4108,4315,2011
"Wooster, OH Micro Area",50105,3934,8743,8550,6740,5394,3712,4070,1648,2030,3414,1496,374,2011
"Worcester, MA Metro Area",366931,12241,34345,49090,47649,47768,22690,50165,12689,14870,32626,33105,9693,2011
"Yakima, WA Metro Area",92355,3491,15084,18291,19847,12727,3597,8107,1287,2407,2020,2854,2643,2011
"Yauco, PR Metro Area",22723,1079,1778,4386,3157,1619,1255,4606,394,922,1508,1151,868,2011
"York-Hanover, PA Metro Area",200561,6027,17042,27189,34575,31394,12177,22726,5657,7379,16907,13193,6295,2011
"Youngstown-Warren-Boardman, OH-PA Metro Area",228194,10866,30785,38889,42552,35532,15996,22564,4768,4756,8647,8238,4601,2011
"Yuba City, CA Metro Area",56046,1497,7072,7849,8402,5695,3011,4570,2236,1993,5589,6120,2012,2011
"Yuma, AZ Metro Area",64982,2293,10831,12719,11704,8934,4144,8610,335,966,1172,2003,1271,2011
