Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Killeen-Temple, TX Metro Area",193425,10273,21199,36036,37860,23433,8866,18573,6100,3225,12320,11077,4463,2021
"Kingsport-Bristol, TN-VA Metro Area",110197,4838,12225,16380,17316,17911,9281,10883,4461,2342,8060,4326,2174,2021
"Kingston, NY Metro Area",68260,2356,5573,8907,11030,8459,4213,6500,3203,5039,3873,5429,3678,2021
"Klamath Falls, OR Micro Area",23090,1072,4097,6203,4384,3268,385,978,491,297,1004,254,657,2021
"Knoxville, TN Metro Area",360479,7845,29652,45838,65479,62466,31250,55147,13228,9329,22004,13320,4921,2021
"Kokomo, IN Metro Area",33910,1483,5825,6827,6094,3775,1222,2344,949,667,2005,2142,577,2021
"La Crosse-Onalaska, WI-MN Metro Area",65199,2732,9329,14577,12084,9207,3232,4701,2191,1046,3595,1227,1278,2021
"Lafayette, LA Metro Area",197384,4538,18063,33404,38331,27065,13037,22084,6091,6654,14217,6890,7010,2021
"Lafayette-West Lafayette, IN Metro Area",94219,1995,12768,22356,20974,13392,6851,5975,2450,1235,3843,1720,660,2021
"LaGrange, GA-AL Micro Area",43634,1534,4451,5816,9309,6986,3548,5016,1563,2186,837,1435,953,2021
"Lake Charles, LA Metro Area",87575,2422,9921,16465,21767,13491,5678,7942,2055,644,2522,1826,2842,2021
"Lake City, FL Micro Area",26046,707,1990,3431,5313,4686,1682,2464,510,640,3259,764,600,2021
"Lake Havasu City-Kingman, AZ Metro Area",72471,2898,11228,21845,12788,7542,1513,3983,1176,477,4552,3499,970,2021
"Lakeland-Winter Haven, FL Metro Area",277040,6115,14653,26731,42434,49709,21766,36900,9370,11014,32560,17622,8166,2021
"Lancaster, PA Metro Area",233846,8132,27379,37174,39161,35875,18658,25459,6589,7815,14469,9494,3641,2021
"Lansing-East Lansing, MI Metro Area",200352,8800,22906,32117,39625,33397,13621,19779,4046,5043,9871,7976,3171,2021
"Laredo, TX Metro Area",100409,2795,12475,19620,23828,17428,5230,9521,1001,1885,3121,2028,1477,2021
"Las Cruces, NM Metro Area",83056,2447,9664,16669,19611,9078,4524,8386,1024,2476,3624,4521,1032,2021
"Las Vegas-Henderson-Paradise, NV Metro Area",876598,12263,57338,103988,143932,182335,87462,154919,26443,28371,42338,22517,14692,2021
"Laurel, MS Micro Area",29474,909,1983,4806,6664,4517,3021,3431,571,712,1746,833,281,2021
"Lawrence, KS Metro Area",52272,3630,8241,12431,8686,3906,2110,5585,1273,1869,3128,1165,248,2021
"Lawton, OK Metro Area",48643,1926,9457,10595,10885,5983,2057,4023,295,877,1270,438,837,2021
"Lebanon, NH-VT Micro Area",91752,4967,9813,15476,11366,11089,6109,11884,3899,3945,7441,3624,2139,2021
"Lebanon, PA Metro Area",60211,4612,6956,10533,10865,6554,3793,6186,2101,1421,4325,2276,589,2021
"Lewiston, ID-WA Metro Area",28617,2313,6495,7621,6354,2610,216,790,404,248,528,589,449,2021
"Lewiston-Auburn, ME Metro Area",44375,1377,6450,7114,6638,4541,3320,4823,2063,1449,5339,859,402,2021
"Lexington-Fayette, KY Metro Area",220256,8374,25396,33821,41902,42358,14241,23635,6358,5188,8870,6046,4067,2021
"Lima, OH Metro Area",39234,1616,5972,8292,7635,5072,2169,3802,611,1065,2098,459,443,2021
"Lincoln, NE Metro Area",161613,6057,22548,31161,34123,28569,8570,13635,2256,2150,7115,3277,2152,2021
"Little Rock-North Little Rock-Conway, AR Metro Area",311719,9577,34332,46062,52018,49268,21845,44259,11303,10218,19229,9370,4238,2021
"Logan, UT-ID Metro Area",64403,3483,14034,14928,12652,6167,2516,3878,1129,982,2463,1671,500,2021
"London, KY Micro Area",48450,2099,5227,8874,7908,9259,2269,4673,456,1172,3011,1643,1859,2021
"Longview, TX Metro Area",112444,3122,15534,17002,18123,16596,5724,11879,4356,5350,6547,4834,3377,2021
"Longview, WA Metro Area",39760,873,4402,5079,6804,6607,2179,2863,699,1765,3799,3258,1432,2021
"Los Angeles-Long Beach-Anaheim, CA Metro Area",4773103,73685,293451,540879,697894,716727,304996,879566,139800,229659,414509,358125,123812,2021
"Louisville/Jefferson County, KY-IN Metro Area",519735,10217,42265,70805,91202,112688,53049,69294,16480,14131,21747,11288,6569,2021
"Lubbock, TX Metro Area",149501,6264,25830,36070,44508,15362,3364,8263,1783,534,2375,2606,2542,2021
"Lufkin, TX Micro Area",32361,1407,4552,8645,5326,4607,712,1628,912,818,479,1621,1654,2021
"Lumberton, NC Micro Area",42283,1643,5609,5219,6437,6627,2512,5259,1572,1144,3628,1426,1207,2021
"Lynchburg, VA Metro Area",106336,3190,11766,19771,19400,16244,7578,13024,2011,2248,6149,3238,1717,2021
"Macon-Bibb County, GA Metro Area",86197,3190,6439,11429,15306,16605,6512,10363,4055,1912,4517,4149,1720,2021
"Madera, CA Metro Area",47865,2303,5332,7473,6236,4215,1276,8753,1659,2744,3502,2634,1738,2021
"Madison, WI Metro Area",290258,13506,34314,49088,52130,46059,24531,33306,7494,7152,12662,6184,3832,2021
"Manchester-Nashua, NH Metro Area",180111,4234,18022,29497,26107,26670,13393,20316,6387,7137,14738,9419,4191,2021
"Manhattan, KS Metro Area",61289,2001,13956,16365,8036,6213,2784,6009,701,1201,2585,370,1068,2021
"Manitowoc, WI Micro Area",34973,2285,5764,7370,5059,4661,3237,2848,756,724,856,1046,367,2021
