Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",812165,15751,58786,100218,126206,134414,55670,130378,26483,33176,73873,44226,12984,2013
"New Bern, NC Metro Area",52961,2821,9410,6907,7879,5810,3393,5306,2084,1653,3453,2518,1727,2013
"New Castle, PA Micro Area",37326,1227,5388,5470,5315,4676,2328,5216,1580,1358,2415,1810,543,2013
"New Haven-Milford, CT Metro Area",393345,11067,36163,64896,65638,68822,24796,49304,10588,13826,25235,14927,8083,2013
"New Orleans-Metairie, LA Metro Area",546032,15696,43465,78731,86385,88011,33569,86708,12968,15785,37602,31770,15342,2013
"New Philadelphia-Dover, OH Micro Area",39904,2522,5991,6775,6033,6635,1859,3951,749,1325,2540,1263,261,2013
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8888158,146827,524694,814607,931116,1011843,453178,1318813,279737,504379,1100680,1252070,550214,2013
"Niles-Benton Harbor, MI Metro Area",63956,2277,10351,13652,10752,10649,4732,4680,1742,1632,1673,863,953,2013
"North Port-Sarasota-Bradenton, FL Metro Area",265064,6693,19748,37136,44459,60579,17416,39655,5982,5656,17842,6782,3116,2013
"North Wilkesboro, NC Micro Area",24692,1034,2707,3518,3737,5056,1582,2201,779,819,1187,1696,376,2013
"Norwich-New London, CT Metro Area",131928,4037,14556,22922,19860,23415,9648,13922,3591,5161,6102,5972,2742,2013
"Oak Harbor, WA Micro Area",32691,554,4670,6239,5362,2663,839,2233,990,1264,2965,2722,2190,2013
"Ocala, FL Metro Area",105443,3369,7519,13245,19262,17788,8286,16540,2591,4678,6557,4072,1536,2013
"Ocean City, NJ Metro Area",39889,2343,5091,4968,8670,5944,1897,2954,1148,1515,2224,1431,1704,2013
"Odessa, TX Metro Area",68655,2350,7587,13325,14808,11334,2945,8165,1383,982,2097,2228,1451,2013
"Ogden-Clearfield, UT Metro Area",270107,8818,37428,42871,49013,45292,17360,29042,4468,6988,15806,8079,4942,2013
"Ogdensburg-Massena, NY Micro Area",41121,2681,7658,7325,5687,5023,2002,3371,1112,1482,2155,1344,1281,2013
"Oklahoma City, OK Metro Area",603019,17438,66629,91785,101487,116321,43641,83507,13850,15863,27103,14550,10845,2013
"Olean, NY Micro Area",32154,2877,6047,5387,4448,2908,1869,2895,660,998,1860,1431,774,2013
"Olympia-Tumwater, WA Metro Area",112642,3502,12240,16291,16281,20043,8185,11952,2776,4140,9011,5981,2240,2013
"Omaha-Council Bluffs, NE-IA Metro Area",442020,12380,48544,74481,89702,83620,34335,54193,9343,9277,15224,6685,4236,2013
"Opelousas, LA Micro Area",30579,2187,4556,4156,2806,4760,1117,2526,526,2599,1358,2936,1052,2013
"Orangeburg, SC Micro Area",31784,990,3657,5634,5264,3135,1892,3023,1140,543,2590,2769,1147,2013
"Orlando-Kissimmee-Sanford, FL Metro Area",991095,14218,53421,123182,149913,155978,74295,184488,35010,48850,89476,42318,19946,2013
"Oshkosh-Neenah, WI Metro Area",82536,3223,12834,19496,16886,11769,5242,6463,1168,1582,2197,851,825,2013
"Ottawa-Peru, IL Micro Area",64064,5182,10441,11467,8482,6999,3078,6353,1085,1326,4411,2782,2458,2013
"Owensboro, KY Metro Area",50072,2496,9176,11701,9031,4846,2591,3960,1201,818,2159,1473,620,2013
"Owosso, MI Micro Area",27099,1740,4156,3322,2940,2255,1442,3791,1367,1373,2845,950,918,2013
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",371890,8068,36179,60608,56183,59781,21086,51435,8214,12642,24944,21009,11741,2013
"Paducah, KY-IL Micro Area",36906,1294,5932,6306,8882,4665,2107,4391,564,567,887,937,374,2013
"Palatka, FL Micro Area",22368,571,2483,4153,2591,1779,862,3670,705,437,2863,1707,547,2013
"Palm Bay-Melbourne-Titusville, FL Metro Area",212526,5135,21379,28965,38695,39538,13370,30435,4982,5417,13022,8611,2977,2013
"Panama City, FL Metro Area",82226,3309,8484,14533,14660,10926,5787,13270,1326,1556,5281,2474,620,2013
"Parkersburg-Vienna, WV Metro Area",37349,1521,3978,6148,7505,7111,1482,4252,243,766,1916,1328,1099,2013
"Pensacola-Ferry Pass-Brent, FL Metro Area",184349,2527,14070,29175,37205,31814,12890,24721,4315,4583,12892,7307,2850,2013
"Peoria, IL Metro Area",169090,7133,18986,27482,34372,30443,11738,19094,4424,4036,5045,3764,2573,2013
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2684735,60042,205852,310394,368176,383001,168051,405414,92674,132436,277552,207359,73784,2013
"Phoenix-Mesa-Scottsdale, AZ Metro Area",1788231,37586,141443,225472,260540,287984,136584,290114,54276,83826,159697,84362,26347,2013
"Pine Bluff, AR Metro Area",33783,954,2551,5735,9291,5196,1429,2990,1044,1043,2021,904,625,2013
"Pinehurst-Southern Pines, NC Micro Area",35514,779,4018,7227,6087,5664,1284,3791,391,1466,3118,1215,474,2013
"Pittsburgh, PA Metro Area",1076505,30328,102295,141133,155902,158283,72436,150602,36059,51413,97975,60760,19319,2013
"Pittsfield, MA Metro Area",58782,4647,10903,10049,9097,8079,3117,5397,900,956,2144,2134,1359,2013
"Plattsburgh, NY Micro Area",32062,2995,4805,5906,6053,4068,1427,2154,505,848,1171,1683,447,2013
"Pocatello, ID Metro Area",35179,1588,8215,9085,7205,2887,684,1423,380,227,1472,1193,820,2013
"Ponce, PR Metro Area",81733,578,6180,12964,15739,13910,4467,12644,1152,2607,4581,4677,2234,2013
"Port Angeles, WA Micro Area",26112,1941,5529,5374,3343,2869,1247,2553,287,428,933,522,1086,2013
"Portland-South Portland, ME Metro Area",245593,8644,24495,40378,37718,38511,17864,29584,7172,8022,17914,9700,5591,2013
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1022283,25105,91673,133599,163641,161581,73863,144719,30125,42186,83615,52065,20111,2013
"Port St. Lucie, FL Metro Area",155497,4442,12397,20439,27760,22110,8724,25451,4192,5757,11174,8296,4755,2013
"Portsmouth, OH Micro Area",27159,1268,3727,4288,3626,4293,1662,3667,599,943,747,1042,1297,2013
"Pottsville, PA Micro Area",62062,3332,7036,9405,9921,8676,4299,6164,1881,1563,4475,3927,1383,2013
"Prescott, AZ Metro Area",76002,4642,12350,12360,12032,10002,4984,9099,1115,946,3058,2312,3102,2013
"Providence-Warwick, RI-MA Metro Area",735032,19964,72413,106738,129196,115264,49288,84938,20853,26958,49822,40627,18971,2013
"Provo-Orem, UT Metro Area",219540,9214,31280,36568,41341,34309,12842,20565,4802,6130,12036,7328,3125,2013
"Pueblo, CO Metro Area",59702,2188,8096,12549,12724,8140,2153,4689,784,1437,4080,2191,671,2013
"Punta Gorda, FL Metro Area",48939,1910,5297,7350,9763,5988,3017,6256,1334,1555,4131,1555,783,2013
"Quincy, IL-MO Micro Area",34445,1140,6613,8674,7253,3786,1343,2365,561,641,1161,434,474,2013
"Racine, WI Metro Area",84687,2425,9829,13870,13920,13426,4485,8749,3528,2599,5947,4306,1603,2013
"Raleigh, NC Metro Area",558783,10534,45210,62683,93677,96169,47126,89750,22181,21257,39260,19360,11576,2013
"Rapid City, SD Metro Area",67682,3285,9735,14366,16106,9698,2813,5737,1215,1486,1209,1346,686,2013
"Reading, PA Metro Area",185838,5314,21535,29957,30387,27924,11858,17411,4024,6306,13784,11981,5357,2013
"Redding, CA Metro Area",61519,1733,8956,16043,14048,9020,2295,3553,228,656,1962,1281,1744,2013
"Reno, NV Metro Area",198234,4177,21689,34454,43703,39455,11663,21900,2625,3651,6221,4228,4468,2013
"Richmond, IN Micro Area",25319,1691,3892,6072,5393,2646,974,1355,213,314,1247,1242,280,2013
"Richmond, VA Metro Area",570294,10635,42077,75399,98928,102605,49375,88303,18663,17651,34424,19888,12346,2013
"Richmond-Berea, KY Micro Area",44699,1492,8040,7871,5402,4812,2011,4650,1084,1340,4675,2703,619,2013
"Riverside-San Bernardino-Ontario, CA Metro Area",1617168,35670,132506,198888,232698,210962,88652,210897,42590,61855,142542,160952,98956,2013
"Roanoke, VA Metro Area",140237,4908,15897,23362,28480,23597,8356,14952,2974,3242,7895,4520,2054,2013
"Roanoke Rapids, NC Micro Area",24369,934,3790,3128,3755,3031,1580,2779,644,1706,1903,733,386,2013
"Rochester, MN Metro Area",105570,4794,15698,21849,22447,13259,6109,9817,1412,1970,4094,2615,1506,2013
"Rochester, NY Metro Area",485021,20542,58150,77671,87785,91923,35693,52187,11882,12629,18861,11982,5716,2013
"Rockford, IL Metro Area",147100,5055,20112,26542,27997,22226,10018,13202,3530,2928,6182,5944,3364,2013
"Rocky Mount, NC Metro Area",60967,2473,7106,10191,10568,10306,5244,6203,1924,899,3414,1939,700,2013
"Rome, GA Metro Area",36814,1261,5015,6186,9106,5147,2142,3526,332,196,1207,1767,929,2013
"Roseburg, OR Micro Area",35935,3183,4804,5833,6939,4836,1989,2958,1335,430,794,1998,836,2013
"Roswell, NM Micro Area",26167,1616,5268,5316,6496,2127,697,1707,15,313,1664,552,396,2013
"Russellville, AR Micro Area",32993,1379,5041,5318,7968,3821,1936,2755,1212,1155,1088,820,500,2013
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",874218,21439,83126,125693,133400,134071,65242,126286,25844,32831,63817,34555,27914,2013
"Saginaw, MI Metro Area",77593,3185,11095,15024,13822,11400,4642,8594,1527,1646,2706,1925,2027,2013
"St. Cloud, MN Metro Area",97507,6309,16043,18795,17904,12537,4879,7768,2074,2273,3671,3366,1888,2013
"St. George, UT Metro Area",54469,3201,9339,12947,10556,8145,2488,3745,378,440,1183,798,1249,2013
"St. Joseph, MO-KS Metro Area",55034,2582,6577,14505,12426,7105,2501,2852,736,748,2248,2047,707,2013
"St. Louis, MO-IL Metro Area",1275535,30876,102605,166947,193630,208275,99301,195763,48508,56520,105900,48099,19111,2013
"Salem, OH Micro Area",43453,2505,5852,6885,6424,4576,2033,5070,1465,2173,3558,1940,972,2013
"Salem, OR Metro Area",161681,6368,24891,21076,30292,29676,9716,14690,3725,3446,7918,6981,2902,2013
"Salinas, CA Metro Area",165118,3870,15696,25974,32929,29418,9507,25250,2363,5199,6909,4704,3299,2013
"Salisbury, MD-DE Metro Area",157097,6371,22182,24868,25985,22277,9065,17697,3270,6041,10889,5697,2755,2013
"Salt Lake City, UT Metro Area",522279,11150,47807,76094,92490,101511,40156,81999,11947,14796,25106,13061,6162,2013
"San Angelo, TX Metro Area",53892,2033,8845,15009,13942,5088,1085,3272,44,1252,811,1625,886,2013
"San Antonio-New Braunfels, TX Metro Area",990802,25254,80382,124914,167409,173984,76212,148382,31513,30903,71795,39942,20112,2013
"San Diego-Carlsbad, CA Metro Area",1383027,22591,99734,185963,246891,248179,113731,207625,39649,47513,92032,48745,30374,2013
"Sandusky, OH Micro Area",33866,1849,5537,6222,6305,5209,1425,2579,354,613,2030,1425,318,2013
"San Francisco-Oakland-Hayward, CA Metro Area",2048701,27780,120681,227131,270246,273012,116040,324598,61817,112436,232440,211152,71368,2013
"San Germán, PR Metro Area",32973,148,2817,5351,4747,6277,1330,4521,437,1767,3448,1368,762,2013
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",878853,11481,54784,99822,144044,168931,63858,141147,24063,35046,65609,52243,17825,2013
"San Juan-Carolina-Caguas, PR Metro Area",685131,11824,37642,64916,94450,94066,28580,123426,15135,36874,59921,83584,34713,2013
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",118715,3060,20033,22807,18276,17219,5111,17948,2683,3979,3241,2829,1529,2013
"Santa Cruz-Watsonville, CA Metro Area",117783,2315,11122,19360,22054,15503,4304,13777,3351,4321,11633,7967,2076,2013
"Santa Fe, NM Metro Area",60678,1359,7590,10655,11242,9075,3381,6947,888,1919,4071,2633,918,2013
"Santa Maria-Santa Barbara, CA Metro Area",191414,8457,34095,40129,39061,23623,6742,19516,3013,2598,5586,5046,3548,2013
"Santa Rosa, CA Metro Area",218521,6757,27198,37470,38915,31733,11381,22745,5099,4410,12601,13270,6942,2013
"Savannah, GA Metro Area",155934,3261,14021,21200,25282,28348,13936,25539,5425,4272,9455,3960,1235,2013
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",243946,10358,33289,41425,42231,42634,15082,26071,4124,6188,11209,6935,4400,2013
"Searcy, AR Micro Area",30906,1179,5576,3972,5007,3326,1425,3284,665,836,3229,2243,164,2013
"Seattle-Tacoma-Bellevue, WA Metro Area",1683444,35074,109362,180098,235191,258452,118243,264233,61752,86209,172792,119734,42304,2013
"Sebastian-Vero Beach, FL Metro Area",49643,1391,5455,9199,8663,8465,3285,5632,973,1649,2743,1154,1034,2013
"Sebring, FL Metro Area",29146,1311,4705,5008,6844,3269,890,3563,35,569,1308,1211,433,2013
"Seneca, SC Micro Area",28570,243,3003,3630,5634,5321,1866,4737,422,483,1081,1388,762,2013
"Sevierville, TN Micro Area",39875,1238,4116,3926,7412,6288,3041,6172,1351,1773,2980,1239,339,2013
"Shawnee, OK Micro Area",27500,848,4106,5624,3973,3736,1176,2453,805,922,2228,1160,469,2013
"Sheboygan, WI Metro Area",55429,3218,9006,13313,11407,7069,2215,2686,845,832,2790,1608,440,2013
"Shelby, NC Micro Area",41630,1577,4842,6132,8219,6597,3323,3317,492,1133,2923,2448,627,2013
"Sherman-Denison, TX Metro Area",49391,1882,5163,10333,9685,6178,1855,5160,506,868,2825,3363,1573,2013
"Show Low, AZ Micro Area",30632,2471,7230,4954,4279,1774,644,3503,657,846,1993,1390,891,2013
"Shreveport-Bossier City, LA Metro Area",190312,4352,16399,33277,43523,39509,9434,21028,3265,3203,9089,4675,2558,2013
"Sierra Vista-Douglas, AZ Metro Area",45529,3791,7904,7380,7479,7740,2611,3621,626,700,1670,1583,424,2013
"Sioux City, IA-NE-SD Metro Area",79617,4577,16503,15556,15157,11112,3480,6001,1221,1037,2395,1681,897,2013
"Sioux Falls, SD Metro Area",129714,5100,18044,25336,30696,24948,6237,9040,1347,1594,2645,3125,1602,2013
"Somerset, PA Micro Area",31780,2137,4303,4229,4855,4671,1767,4146,639,1057,1524,1628,824,2013
"South Bend-Mishawaka, IN-MI Metro Area",134853,3174,15178,24242,23814,22492,11870,15458,3204,3314,6676,3652,1779,2013
"Spartanburg, SC Metro Area",134073,3641,15198,17678,24564,24256,9572,18620,4791,3455,6071,3060,3167,2013
"Spokane-Spokane Valley, WA Metro Area",215114,9274,25696,33189,40854,34883,14793,25972,4358,6568,10546,5289,3692,2013
"Springfield, IL Metro Area",97380,4264,13463,17195,21769,15611,7018,8498,1293,2713,2745,2090,721,2013
"Springfield, MA Metro Area",272382,9221,31059,44081,42111,45397,20657,34373,7611,7863,16577,8779,4653,2013
"Springfield, MO Metro Area",196812,8511,23586,30590,34239,32678,12839,26682,5228,5588,9725,3187,3959,2013
"Springfield, OH Metro Area",57046,1889,6975,11382,10505,6844,4308,5041,1886,1878,3529,1855,954,2013
"State College, PA Metro Area",68958,3054,8008,14500,13354,11258,3525,6873,1311,1630,2904,1151,1390,2013
"Statesboro, GA Micro Area",28061,839,6846,5294,2934,3456,593,1823,491,959,2208,2531,87,2013
"Staunton-Waynesboro, VA Metro Area",51129,531,6377,10584,9460,7887,2378,6139,2657,1574,1493,1318,731,2013
"Stevens Point, WI Micro Area",33173,1799,7241,7958,5385,2977,1769,2106,842,904,982,686,524,2013
"Stillwater, OK Micro Area",32929,2537,8102,6831,5343,3978,1228,1959,206,315,687,968,775,2013
"Stockton-Lodi, CA Metro Area",258856,6425,26841,41148,38289,35233,11437,25325,4614,5578,17393,25226,21347,2013
"Sumter, SC Metro Area",44353,2155,5320,9078,9958,6025,1764,4622,173,289,1836,2389,744,2013
"Sunbury, PA Micro Area",39944,1551,6055,5790,5927,5849,3223,5165,1047,610,2202,1759,766,2013
"Syracuse, NY Metro Area",290893,14341,34616,48527,51841,49262,21770,33788,6391,6940,11960,6345,5112,2013
"Talladega-Sylacauga, AL Micro Area",32224,1558,3136,5518,6034,4124,1774,3417,1422,323,2200,2065,653,2013
"Tallahassee, FL Metro Area",165915,6084,16960,25348,29053,32503,10709,22183,4367,5198,7490,4316,1704,2013
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1200123,27952,105890,147598,178564,196966,80226,177414,38509,51325,109966,64783,20930,2013
"Terre Haute, IN Metro Area",66951,3724,9004,9903,12812,12076,3508,6748,1836,1703,2199,1867,1571,2013
"Texarkana, TX-AR Metro Area",58570,2477,7972,13291,12221,9984,2543,4825,658,1314,1707,1209,369,2013
"The Villages, FL Metro Area",18416,680,2148,1128,5121,2470,875,2039,673,668,1522,653,439,2013
"Toledo, OH Metro Area",262165,11047,35387,44280,46673,49837,18274,27674,4924,5333,8856,5938,3942,2013
"Topeka, KS Metro Area",102595,3470,14428,19743,21192,15172,5090,9623,2404,1533,3942,3750,2248,2013
"Torrington, CT Micro Area",92409,4499,9790,12565,12274,14039,4265,10477,3676,4125,8298,5789,2612,2013
"Traverse City, MI Micro Area",61362,2381,6723,10604,10279,9217,6083,7418,1230,2092,2698,1486,1151,2013
"Trenton, NJ Metro Area",166952,3696,15064,24949,30028,26284,8598,18173,3351,5195,11159,11894,8561,2013
"Truckee-Grass Valley, CA Micro Area",32378,937,3920,6061,5864,4508,1917,2746,637,632,2093,2502,561,2013
"Tucson, AZ Metro Area",399041,8827,31059,54458,66681,67078,32023,61925,13138,15539,29513,11248,7552,2013
"Tullahoma-Manchester, TN Micro Area",39886,1417,8480,5520,6483,6638,2230,3431,519,1129,2140,1388,511,2013
"Tulsa, OK Metro Area",422794,13243,47566,67099,82438,75664,28606,58281,8418,8612,18899,8800,5168,2013
"Tupelo, MS Micro Area",56768,1368,6116,12809,9254,11222,3107,6655,494,1460,3228,497,558,2013
"Tuscaloosa, AL Metro Area",95187,1255,8282,14434,20920,18123,6963,11155,1188,1927,6363,3461,1116,2013
"Twin Falls, ID Micro Area",44675,2348,10392,9979,7133,5487,1318,3675,852,497,1338,1245,411,2013
"Tyler, TX Metro Area",91763,3648,11597,14980,17288,12578,4276,13691,1187,2248,3116,2935,4219,2013
"Ukiah, CA Micro Area",31305,4028,8641,4826,3449,2417,840,2427,363,642,1555,1283,834,2013
"Urban Honolulu, HI Metro Area",461948,8323,38120,52844,62792,65661,26304,87418,9754,17302,48179,32956,12295,2013
"Utica-Rome, NY Metro Area",123316,7547,19854,24987,20144,17908,6522,10742,2451,3096,5495,2770,1800,2013
"Valdosta, GA Metro Area",57717,2248,8623,10461,14063,9938,2311,5198,684,599,1594,1012,986,2013
"Vallejo-Fairfield, CA Metro Area",176956,3568,17906,26451,25855,18745,6274,20402,5472,6150,17782,18361,9990,2013
"Victoria, TX Metro Area",42172,1290,7590,9261,8931,4870,1670,3149,533,781,2025,1090,982,2013
"Vineland-Bridgeton, NJ Metro Area",55735,2403,7366,9884,12259,5912,2628,5031,1594,2571,3294,1959,834,2013
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",805713,16957,71502,115583,144822,137704,61374,110284,20465,26381,57348,29755,13538,2013
"Visalia-Porterville, CA Metro Area",157496,6726,24073,30605,27349,20644,7602,14411,3840,5262,8112,6385,2487,2013
"Waco, TX Metro Area",112811,4346,14812,24697,25648,18634,5218,10645,1108,688,3261,2019,1735,2013
"Walla Walla, WA Metro Area",24368,2136,5777,6502,5184,2028,318,1290,59,146,555,359,14,2013
"Warner Robins, GA Metro Area",74926,1834,8727,11413,15105,14372,5613,9503,1649,910,3213,1770,817,2013
"Warsaw, IN Micro Area",35527,2720,5230,7062,6398,4171,2735,3259,179,911,1350,765,747,2013
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2962993,39331,141581,247245,339734,358103,176906,472158,119118,173476,405083,362716,127542,2013
"Waterloo-Cedar Falls, IA Metro Area",81375,3489,17869,20752,15161,9571,4169,5088,729,944,1308,1479,816,2013
"Watertown-Fort Atkinson, WI Micro Area",40925,2823,6908,7084,3969,5285,2232,4069,1920,1637,2806,1334,858,2013
"Watertown-Fort Drum, NY Metro Area",51199,4305,8718,9651,8256,6266,4525,4200,1019,1127,1989,637,506,2013
"Wausau, WI Metro Area",65951,3573,9558,12783,13927,10315,4336,4902,1087,1128,2298,954,1090,2013
"Weirton-Steubenville, WV-OH Metro Area",50614,2354,7744,6394,7672,7136,2138,5395,962,1737,5033,2947,1102,2013
"Wenatchee, WA Metro Area",48157,2968,7574,11090,9875,6185,1278,3567,318,1101,2312,993,896,2013
"Wheeling, WV-OH Metro Area",62364,2465,8916,11383,11403,9534,3032,4792,1073,2089,4607,2224,846,2013
"Whitewater-Elkhorn, WI Micro Area",49574,2676,8160,6484,7810,5363,3583,4880,1079,683,4797,2575,1484,2013
"Wichita, KS Metro Area",287611,11770,39284,52394,54283,54117,19193,30212,6208,5259,8989,3501,2401,2013
"Wichita Falls, TX Metro Area",65893,3788,13997,17702,14020,6792,2314,3205,656,200,924,1275,1020,2013
"Williamsport, PA Metro Area",50258,3320,7672,9312,9665,6868,3516,3915,1331,971,1734,895,1059,2013
"Wilmington, NC Metro Area",119316,2523,12825,21223,24173,19117,8497,14500,2783,2475,5529,3588,2083,2013
"Wilson, NC Micro Area",34939,1428,3331,8273,6911,6562,1859,2552,371,620,2326,335,371,2013
"Winchester, VA-WV Metro Area",59605,1496,6079,8190,10478,8041,3548,3926,977,2006,6077,6101,2686,2013
"Winston-Salem, NC Metro Area",269063,7161,25765,44791,53092,45284,21118,31557,5815,7557,13857,7695,5371,2013
"Wisconsin Rapids-Marshfield, WI Micro Area",34447,1686,7104,8417,4570,3764,2096,2907,524,623,1233,875,648,2013
"Wooster, OH Micro Area",51728,4025,6536,9380,9353,7161,3446,4619,1350,1242,2368,1469,779,2013
"Worcester, MA-CT Metro Area",427965,12563,41945,56188,59965,54727,30231,53470,12633,16702,42269,34664,12608,2013
"Yakima, WA Metro Area",95192,3939,12657,16947,22704,18248,4520,9026,1041,1234,2816,1268,792,2013
"York-Hanover, PA Metro Area",207298,5811,22390,28374,30921,28739,15711,21421,5604,9147,16702,16573,5905,2013
"Youngstown-Warren-Boardman, OH-PA Metro Area",225855,10307,29986,39871,44706,32753,13241,22761,4345,5445,10115,8974,3351,2013
"Yuba City, CA Metro Area",57934,1745,7582,8511,8982,6733,2191,3830,1571,2071,6707,6670,1341,2013
"Yuma, AZ Metro Area",70824,3215,10813,15472,11587,10196,5814,8600,615,875,1176,1719,742,2013
"Zanesville, OH Micro Area",35610,658,3649,6672,7449,5291,2292,3174,862,1148,1771,2012,632,2013
"Aberdeen, WA Micro Area",23731,709,5071,3686,3477,2650,809,2143,616,857,1368,1449,896,2013
"Abilene, TX Metro Area",73721,4397,13279,19278,17532,7633,2225,4522,595,699,1098,1018,1445,2013
