Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Mansfield, OH Metro Area",46837,1693,6567,9038,8911,7513,3216,4162,423,980,1565,1448,1321,2013
"Marinette, WI-MI Micro Area",27333,2388,5436,4864,4028,3268,928,2366,650,587,1561,830,427,2013
"Marion, IN Micro Area",27199,1950,5924,5035,4457,3644,700,1853,408,428,1454,849,497,2013
"Marion, OH Micro Area",24435,694,2761,5527,5473,2160,1082,1628,187,1101,1425,1691,706,2013
"Marquette, MI Micro Area",28047,1703,6692,5600,3954,3596,1747,1858,269,408,1502,362,356,2013
"Marshall, TX Micro Area",25117,1017,3381,3573,5529,3977,1402,3243,545,150,1607,556,137,2013
"Martinsville, VA Micro Area",25716,935,3433,3881,4993,3249,2739,2336,427,566,1587,1104,466,2013
"Mayagüez, PR Metro Area",25748,779,2579,5188,5414,4423,575,3228,514,526,1142,788,592,2013
"McAllen-Edinburg-Mission, TX Metro Area",280053,7293,28798,48141,59280,53404,19502,38669,2953,5143,6588,5110,5172,2013
"Meadville, PA Micro Area",34614,1803,5845,5017,5821,4225,2725,2725,921,1277,2149,1552,554,2013
"Medford, OR Metro Area",79059,2162,11224,18276,17733,9585,3665,8319,1250,1135,2630,2243,837,2013
"Memphis, TN-MS-AR Metro Area",582977,12374,50170,75209,91537,103819,45553,103871,19047,16171,42577,15237,7412,2013
"Merced, CA Metro Area",85223,4571,10590,15997,12974,12957,2782,6197,1681,1702,3198,5425,7149,2013
"Meridian, MS Micro Area",39713,1811,5927,6272,7679,5746,1596,4714,1500,562,1792,1194,920,2013
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2509362,40746,146469,277409,350593,408587,169483,478558,85819,121202,228862,150483,51151,2013
"Michigan City-La Porte, IN Metro Area",45720,1354,8847,7284,6065,6313,3372,3592,1601,1700,3071,1842,679,2013
"Midland, MI Metro Area",34211,1703,3951,7048,6356,4535,2237,3928,754,632,2298,318,451,2013
"Midland, TX Metro Area",76005,2137,10278,15330,18696,11189,3305,7767,462,1192,1295,2303,2051,2013
"Milwaukee-Waukesha-West Allis, WI Metro Area",728602,19395,69303,101881,127994,131332,57801,98389,23142,25738,40139,19815,13673,2013
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1723294,39524,147110,218998,263954,281588,144878,253711,64682,73222,140879,71514,23234,2013
"Minot, ND Micro Area",42311,4098,8004,9165,7869,3943,1214,3281,509,267,567,1390,2004,2013
"Missoula, MT Metro Area",52263,1722,8796,12983,13222,6252,1996,3338,557,601,1567,743,486,2013
"Mobile, AL Metro Area",161306,2508,13944,23589,26620,28396,11532,30748,3149,4933,8450,5024,2413,2013
"Modesto, CA Metro Area",196323,6064,25014,33208,31622,27464,9715,20979,4206,5598,11264,8524,12665,2013
"Monroe, LA Metro Area",69538,1853,9556,15716,14307,8576,2522,9838,1045,546,3113,1164,1302,2013
"Monroe, MI Metro Area",63013,2255,7468,9233,9828,7402,4796,7511,2398,1913,6467,2805,937,2013
"Montgomery, AL Metro Area",153445,3783,15468,21272,33042,27175,10882,22299,3953,3625,7647,1797,2502,2013
"Morehead City, NC Micro Area",26916,1092,3556,4661,4046,3639,1700,3931,659,577,1837,579,639,2013
"Morgantown, WV Metro Area",61859,3066,5787,9286,10993,13053,4313,5245,791,2119,3077,2914,1215,2013
"Morristown, TN Metro Area",45764,729,4954,7404,9054,6569,2946,4056,1688,2092,3667,2190,415,2013
"Moses Lake, WA Micro Area",34009,3100,6042,4440,6161,3361,1761,4016,335,490,2545,1608,150,2013
"Mount Airy, NC Micro Area",28511,1033,3234,4520,5056,3957,1180,3875,549,950,2085,1445,627,2013
"Mount Pleasant, MI Micro Area",30747,2519,7184,7578,4661,3352,1112,1602,385,158,907,755,534,2013
"Mount Vernon-Anacortes, WA Metro Area",49033,1871,6307,8548,8941,6482,1781,5221,1400,1706,2784,2385,1607,2013
"Muncie, IN Metro Area",50367,2543,7996,10499,9752,6003,2038,4971,629,1300,1962,1504,1170,2013
"Muskegon, MI Metro Area",67890,3628,7640,12791,14486,11080,3763,4730,1246,1578,3995,2247,706,2013
"Muskogee, OK Micro Area",26978,1136,3555,6396,5018,3215,1322,2464,322,745,1431,971,403,2013
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",163602,6404,15324,27024,30754,26123,10898,24562,2688,3337,9283,5453,1752,2013
"Nacogdoches, TX Micro Area",25028,1302,5688,5323,3569,2277,892,2507,635,521,812,728,774,2013
"Napa, CA Metro Area",64424,2275,8857,15726,9212,6566,3552,6089,1195,1810,3439,3652,2051,2013
"Naples-Immokalee-Marco Island, FL Metro Area",124916,2973,12624,18166,22165,20502,7177,17488,2037,5810,8247,5076,2651,2013
