Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"Springfield, OH Metro Area",57287,3095,7509,9962,9059,8389,3013,6814,2213,1328,3097,1856,952,2017
"State College, PA Metro Area",71291,3508,8234,13325,14769,10420,3869,8034,2439,1074,3089,1444,1086,2017
"Statesboro, GA Micro Area",31746,1062,4337,8708,5033,2223,1196,3249,843,697,2312,1311,775,2017
"Staunton-Waynesboro, VA Metro Area",53358,3490,4933,5951,7966,6894,5009,8683,1874,2084,4459,1160,855,2017
"Stevens Point, WI Micro Area",35104,1360,5129,9267,6760,4503,1666,1855,856,791,1216,1464,237,2017
"Stillwater, OK Micro Area",34001,2413,6998,9357,5088,2206,367,2640,434,566,1129,1563,1240,2017
"Stockton-Lodi, CA Metro Area",292240,7265,26420,38086,47284,39675,13868,29625,6526,7907,17304,30124,28156,2017
"Sumter, SC Metro Area",45923,1725,5153,11471,7523,7872,2058,2271,1029,613,2379,3010,819,2017
"Syracuse, NY Metro Area",288099,10949,31965,49851,55617,50368,21245,29065,7111,8958,13750,5714,3506,2017
"Talladega-Sylacauga, AL Micro Area",32902,2177,4774,3957,4488,5291,1528,4428,855,590,1768,2029,1017,2017
"Tallahassee, FL Metro Area",172568,2972,15775,22244,33726,31004,14121,26367,3677,6128,9827,4104,2623,2017
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1299297,26481,93015,154417,192908,196458,82572,203648,43554,61140,130055,85693,29356,2017
"Terre Haute, IN Metro Area",72883,3259,10431,13920,12916,9924,5226,7008,1726,2144,3374,2009,946,2017
"Texarkana, TX-AR Metro Area",59572,2558,9362,16179,10728,8658,1988,5272,737,1295,1462,884,449,2017
"The Villages, FL Metro Area",20640,805,2122,2949,4421,2903,696,2130,160,1043,1057,1609,745,2017
"Toledo, OH Metro Area",272814,10888,35665,46118,53439,46753,20644,27835,5814,4475,10724,6547,3912,2017
"Topeka, KS Metro Area",105980,2748,13208,19616,31973,12998,4759,8646,2176,2622,3413,2639,1182,2017
"Torrington, CT Micro Area",90174,4686,9937,10729,12072,11990,5683,10523,2344,4534,8270,6272,3134,2017
"Traverse City, MI Micro Area",64852,2063,7797,10489,13775,8522,5874,6809,1680,1606,3845,893,1499,2017
"Trenton, NJ Metro Area",170211,3944,16910,24898,27225,28341,8767,17917,4039,3887,12301,10691,11291,2017
"Truckee-Grass Valley, CA Micro Area",41693,3051,6630,6349,6077,5096,2054,3768,845,831,2402,2180,2410,2017
"Tucson, AZ Metro Area",412496,8335,35793,50259,65735,66203,34634,70475,15138,17395,31324,11105,6100,2017
"Tullahoma-Manchester, TN Micro Area",43524,2851,5279,6751,6957,5295,3326,5133,678,1716,3262,1438,838,2017
"Tulsa, OK Metro Area",435100,10600,46475,70838,79135,85369,32546,58839,9524,9730,18673,8167,5204,2017
"Tupelo, MS Micro Area",61365,1397,4528,11925,11439,11067,4913,9201,1931,867,2345,982,770,2017
"Tyler, TX Metro Area",94162,2143,9375,14332,16973,18630,6706,10779,1672,2257,4206,4519,2570,2017
"Ukiah, CA Micro Area",34664,1988,6751,7833,7086,3331,910,2228,875,211,1102,1183,1166,2017
"Urban Honolulu, HI Metro Area",480689,6518,38121,58072,65418,71495,25105,82540,11001,19601,48034,39701,15083,2017
"Utica-Rome, NY Metro Area",120293,7738,17811,23760,19836,17152,6196,11204,2255,3494,6589,2880,1378,2017
"Valdosta, GA Metro Area",59645,2087,6989,12107,11816,11109,3989,4776,878,873,2465,1280,1276,2017
"Vallejo-Fairfield, CA Metro Area",195033,4018,17523,28823,27525,18592,7690,21119,5641,8821,17916,22678,14687,2017
